Q8IWZ3 AF-Q8IWZ3-F1-model_v4.pdb
Q8IWZ4 AF-Q8IWZ4-F1-model_v4.pdb
Q8IWZ5 AF-Q8IWZ5-F1-model_v4.pdb
Q8IWZ6 AF-Q8IWZ6-F1-model_v4.pdb
Q8IWZ8 AF-Q8IWZ8-F1-model_v4.pdb
Q8IX01 AF-Q8IX01-F1-model_v4.pdb
Q8IX03 AF-Q8IX03-F1-model_v4.pdb
Q8IX04 AF-Q8IX04-F1-model_v4.pdb
Q8IX05 AF-Q8IX05-F1-model_v4.pdb
Q8IX06 AF-Q8IX06-F1-model_v4.pdb
Q8IX07 AF-Q8IX07-F1-model_v4.pdb
Q8IX12 AF-Q8IX12-F1-model_v4.pdb
Q8IX15 AF-Q8IX15-F1-model_v4.pdb
Q8IX18 AF-Q8IX18-F1-model_v4.pdb
Q8IX19 AF-Q8IX19-F1-model_v4.pdb
Q8IX21 AF-Q8IX21-F1-model_v4.pdb
Q8IX29 AF-Q8IX29-F1-model_v4.pdb
Q8IX30 AF-Q8IX30-F1-model_v4.pdb
Q8IX90 AF-Q8IX90-F1-model_v4.pdb
Q8IX94 AF-Q8IX94-F1-model_v4.pdb
Q8IX95 AF-Q8IX95-F1-model_v4.pdb
Q8IXA5 AF-Q8IXA5-F1-model_v4.pdb
Q8IXB1 AF-Q8IXB1-F1-model_v4.pdb
Q8IXB3 AF-Q8IXB3-F1-model_v4.pdb
Q8IXE1 AF-Q8IXE1-F1-model_v4.pdb
Q8IXF0 AF-Q8IXF0-F1-model_v4.pdb
Q8IXF9 AF-Q8IXF9-F1-model_v4.pdb
Q8IXH6 AF-Q8IXH6-F1-model_v4.pdb
Q8IXH7 AF-Q8IXH7-F1-model_v4.pdb
Q8IXH8 AF-Q8IXH8-F1-model_v4.pdb
Q8IXI1 AF-Q8IXI1-F1-model_v4.pdb
Q8IXI2 AF-Q8IXI2-F1-model_v4.pdb
Q8IXJ6 AF-Q8IXJ6-F1-model_v4.pdb
