Q9Y2W1 AF-Q9Y2W1-F1-model_v4.pdb
Q9Y2W2 AF-Q9Y2W2-F1-model_v4.pdb
Q9Y2W3 AF-Q9Y2W3-F1-model_v4.pdb
Q9Y2W6 AF-Q9Y2W6-F1-model_v4.pdb
Q9Y2W7 AF-Q9Y2W7-F1-model_v4.pdb
Q9Y2X0 AF-Q9Y2X0-F1-model_v4.pdb
Q9Y2X3 AF-Q9Y2X3-F1-model_v4.pdb
Q9Y2X7 AF-Q9Y2X7-F1-model_v4.pdb
Q9Y2X8 AF-Q9Y2X8-F1-model_v4.pdb
Q9Y2X9 AF-Q9Y2X9-F1-model_v4.pdb
Q9Y2Y0 AF-Q9Y2Y0-F1-model_v4.pdb
Q9Y2Y1 AF-Q9Y2Y1-F1-model_v4.pdb
Q9Y2Y4 AF-Q9Y2Y4-F1-model_v4.pdb
Q9Y2Y6 AF-Q9Y2Y6-F1-model_v4.pdb
Q9Y2Y8 AF-Q9Y2Y8-F1-model_v4.pdb
Q9Y2Y9 AF-Q9Y2Y9-F1-model_v4.pdb
Q9Y2Z0 AF-Q9Y2Z0-F1-model_v4.pdb
Q9Y2Z2 AF-Q9Y2Z2-F1-model_v4.pdb
Q9Y2Z4 AF-Q9Y2Z4-F1-model_v4.pdb
Q9Y2Z9 AF-Q9Y2Z9-F1-model_v4.pdb
Q9Y303 AF-Q9Y303-F1-model_v4.pdb
Q9Y305 AF-Q9Y305-F1-model_v4.pdb
Q9Y312 AF-Q9Y312-F1-model_v4.pdb
Q9Y314 AF-Q9Y314-F1-model_v4.pdb
Q9Y315 AF-Q9Y315-F1-model_v4.pdb
Q9Y316 AF-Q9Y316-F1-model_v4.pdb
Q9Y320 AF-Q9Y320-F1-model_v4.pdb
Q9Y324 AF-Q9Y324-F1-model_v4.pdb
Q9Y328 AF-Q9Y328-F1-model_v4.pdb
Q9Y330 AF-Q9Y330-F1-model_v4.pdb
Q9Y333 AF-Q9Y333-F1-model_v4.pdb
Q9Y334 AF-Q9Y334-F1-model_v4.pdb
Q9Y336 AF-Q9Y336-F1-model_v4.pdb
Q9Y337 AF-Q9Y337-F1-model_v4.pdb
Q9Y342 AF-Q9Y342-F1-model_v4.pdb
Q9Y343 AF-Q9Y343-F1-model_v4.pdb
Q9Y345 AF-Q9Y345-F1-model_v4.pdb
Q9Y365 AF-Q9Y365-F1-model_v4.pdb
Q9Y366 AF-Q9Y366-F1-model_v4.pdb
Q9Y371 AF-Q9Y371-F1-model_v4.pdb
Q9Y375 AF-Q9Y375-F1-model_v4.pdb
Q9Y376 AF-Q9Y376-F1-model_v4.pdb
Q9Y383 AF-Q9Y383-F1-model_v4.pdb
Q9Y385 AF-Q9Y385-F1-model_v4.pdb
Q9Y388 AF-Q9Y388-F1-model_v4.pdb
Q9Y394 AF-Q9Y394-F1-model_v4.pdb
Q9Y397 AF-Q9Y397-F1-model_v4.pdb
Q9Y399 AF-Q9Y399-F1-model_v4.pdb
Q9Y3A0 AF-Q9Y3A0-F1-model_v4.pdb
Q9Y3A2 AF-Q9Y3A2-F1-model_v4.pdb
Q9Y3A3 AF-Q9Y3A3-F1-model_v4.pdb
Q9Y3A4 AF-Q9Y3A4-F1-model_v4.pdb
Q9Y3A5 AF-Q9Y3A5-F1-model_v4.pdb
Q9Y3A6 AF-Q9Y3A6-F1-model_v4.pdb
Q9Y3B1 AF-Q9Y3B1-F1-model_v4.pdb
Q9Y3B2 AF-Q9Y3B2-F1-model_v4.pdb
Q9Y3B3 AF-Q9Y3B3-F1-model_v4.pdb
Q9Y3B4 AF-Q9Y3B4-F1-model_v4.pdb
Q9Y3B6 AF-Q9Y3B6-F1-model_v4.pdb
Q9Y3B7 AF-Q9Y3B7-F1-model_v4.pdb
Q9Y3B8 AF-Q9Y3B8-F1-model_v4.pdb
Q9Y3B9 AF-Q9Y3B9-F1-model_v4.pdb
Q9Y3C0 AF-Q9Y3C0-F1-model_v4.pdb
Q9Y3C1 AF-Q9Y3C1-F1-model_v4.pdb
Q9Y3C4 AF-Q9Y3C4-F1-model_v4.pdb
Q9Y3C5 AF-Q9Y3C5-F1-model_v4.pdb
Q9Y3C6 AF-Q9Y3C6-F1-model_v4.pdb
Q9Y3C7 AF-Q9Y3C7-F1-model_v4.pdb
Q9Y3C8 AF-Q9Y3C8-F1-model_v4.pdb
Q9Y3D0 AF-Q9Y3D0-F1-model_v4.pdb
Q9Y3D2 AF-Q9Y3D2-F1-model_v4.pdb
Q9Y3D3 AF-Q9Y3D3-F1-model_v4.pdb
Q9Y3D5 AF-Q9Y3D5-F1-model_v4.pdb
Q9Y3D6 AF-Q9Y3D6-F1-model_v4.pdb
Q9Y3D7 AF-Q9Y3D7-F1-model_v4.pdb
Q9Y3D8 AF-Q9Y3D8-F1-model_v4.pdb
Q9Y3D9 AF-Q9Y3D9-F1-model_v4.pdb
Q9Y3E0 AF-Q9Y3E0-F1-model_v4.pdb
Q9Y3E1 AF-Q9Y3E1-F1-model_v4.pdb
Q9Y3E2 AF-Q9Y3E2-F1-model_v4.pdb
Q9Y3E5 AF-Q9Y3E5-F1-model_v4.pdb
Q9Y3E7 AF-Q9Y3E7-F1-model_v4.pdb
Q9Y3F1 AF-Q9Y3F1-F1-model_v4.pdb
Q9Y3F4 AF-Q9Y3F4-F1-model_v4.pdb
Q9Y3I0 AF-Q9Y3I0-F1-model_v4.pdb
Q9Y3I1 AF-Q9Y3I1-F1-model_v4.pdb
Q9Y3L3 AF-Q9Y3L3-F1-model_v4.pdb
Q9Y3L5 AF-Q9Y3L5-F1-model_v4.pdb
Q9Y3M2 AF-Q9Y3M2-F1-model_v4.pdb
Q9Y3M8 AF-Q9Y3M8-F1-model_v4.pdb
Q9Y3M9 AF-Q9Y3M9-F1-model_v4.pdb
Q9Y3N9 AF-Q9Y3N9-F1-model_v4.pdb
Q9Y3P4 AF-Q9Y3P4-F1-model_v4.pdb
Q9Y3P8 AF-Q9Y3P8-F1-model_v4.pdb
Q9Y3P9 AF-Q9Y3P9-F1-model_v4.pdb
Q9Y3Q0 AF-Q9Y3Q0-F1-model_v4.pdb
Q9Y3Q3 AF-Q9Y3Q3-F1-model_v4.pdb
Q9Y3Q4 AF-Q9Y3Q4-F1-model_v4.pdb
Q9Y3Q7 AF-Q9Y3Q7-F1-model_v4.pdb
Q9Y3Q8 AF-Q9Y3Q8-F1-model_v4.pdb
Q9Y3R0 AF-Q9Y3R0-F1-model_v4.pdb
Q9Y3R4 AF-Q9Y3R4-F1-model_v4.pdb
Q9Y3R5 AF-Q9Y3R5-F1-model_v4.pdb
Q9Y3S1 AF-Q9Y3S1-F1-model_v4.pdb
Q9Y3S2 AF-Q9Y3S2-F1-model_v4.pdb
Q9Y3T6 AF-Q9Y3T6-F1-model_v4.pdb
Q9Y3T9 AF-Q9Y3T9-F1-model_v4.pdb
Q9Y3U8 AF-Q9Y3U8-F1-model_v4.pdb
Q9Y3V2 AF-Q9Y3V2-F1-model_v4.pdb
Q9Y3X0 AF-Q9Y3X0-F1-model_v4.pdb
Q9Y3Y2 AF-Q9Y3Y2-F1-model_v4.pdb
Q9Y3Y4 AF-Q9Y3Y4-F1-model_v4.pdb
Q9Y3Z3 AF-Q9Y3Z3-F1-model_v4.pdb
Q9Y421 AF-Q9Y421-F1-model_v4.pdb
Q9Y426 AF-Q9Y426-F1-model_v4.pdb
Q9Y442 AF-Q9Y442-F1-model_v4.pdb
Q9Y446 AF-Q9Y446-F1-model_v4.pdb
Q9Y448 AF-Q9Y448-F1-model_v4.pdb
Q9Y450 AF-Q9Y450-F1-model_v4.pdb
Q9Y458 AF-Q9Y458-F1-model_v4.pdb
Q9Y462 AF-Q9Y462-F1-model_v4.pdb
Q9Y463 AF-Q9Y463-F1-model_v4.pdb
Q9Y466 AF-Q9Y466-F1-model_v4.pdb
Q9Y467 AF-Q9Y467-F1-model_v4.pdb
Q9Y468 AF-Q9Y468-F1-model_v4.pdb
Q9Y471 AF-Q9Y471-F1-model_v4.pdb
Q9Y473 AF-Q9Y473-F1-model_v4.pdb
Q9Y478 AF-Q9Y478-F1-model_v4.pdb
Q9Y483 AF-Q9Y483-F1-model_v4.pdb
Q9Y484 AF-Q9Y484-F1-model_v4.pdb
Q9Y485 AF-Q9Y485-F1-model_v4.pdb
