O75113 AF-O75113-F1-model_v4.pdb
O75116 AF-O75116-F1-model_v4.pdb
O75121 AF-O75121-F1-model_v4.pdb
O75122 AF-O75122-F1-model_v4.pdb
O75123 AF-O75123-F1-model_v4.pdb
O75127 AF-O75127-F1-model_v4.pdb
O75128 AF-O75128-F1-model_v4.pdb
O75129 AF-O75129-F1-model_v4.pdb
O75131 AF-O75131-F1-model_v4.pdb
O75132 AF-O75132-F1-model_v4.pdb
O75140 AF-O75140-F1-model_v4.pdb
O75143 AF-O75143-F1-model_v4.pdb
O75144 AF-O75144-F1-model_v4.pdb
O75145 AF-O75145-F1-model_v4.pdb
O75146 AF-O75146-F1-model_v4.pdb
O75147 AF-O75147-F1-model_v4.pdb
O75150 AF-O75150-F1-model_v4.pdb
O75151 AF-O75151-F1-model_v4.pdb
O75152 AF-O75152-F1-model_v4.pdb
O75153 AF-O75153-F1-model_v4.pdb
O75154 AF-O75154-F1-model_v4.pdb
O75155 AF-O75155-F1-model_v4.pdb
O75157 AF-O75157-F1-model_v4.pdb
O75159 AF-O75159-F1-model_v4.pdb
O75161 AF-O75161-F1-model_v4.pdb
O75164 AF-O75164-F1-model_v4.pdb
O75165 AF-O75165-F1-model_v4.pdb
O75167 AF-O75167-F1-model_v4.pdb
O75170 AF-O75170-F1-model_v4.pdb
O75173 AF-O75173-F1-model_v4.pdb
O75175 AF-O75175-F1-model_v4.pdb
O75177 AF-O75177-F1-model_v4.pdb
O75179 AF-O75179-F1-model_v4.pdb
O75182 AF-O75182-F1-model_v4.pdb
O75185 AF-O75185-F1-model_v4.pdb
O75190 AF-O75190-F1-model_v4.pdb
O75191 AF-O75191-F1-model_v4.pdb
O75192 AF-O75192-F1-model_v4.pdb
O75197 AF-O75197-F1-model_v4.pdb
O75200 AF-O75200-F1-model_v4.pdb
O75204 AF-O75204-F1-model_v4.pdb
O75208 AF-O75208-F1-model_v4.pdb
O75223 AF-O75223-F1-model_v4.pdb
O75251 AF-O75251-F1-model_v4.pdb
O75264 AF-O75264-F1-model_v4.pdb
O75290 AF-O75290-F1-model_v4.pdb
O75293 AF-O75293-F1-model_v4.pdb
O75298 AF-O75298-F1-model_v4.pdb
O75306 AF-O75306-F1-model_v4.pdb
O75309 AF-O75309-F1-model_v4.pdb
O75310 AF-O75310-F1-model_v4.pdb
O75311 AF-O75311-F1-model_v4.pdb
O75312 AF-O75312-F1-model_v4.pdb
O75317 AF-O75317-F1-model_v4.pdb
O75319 AF-O75319-F1-model_v4.pdb
O75323 AF-O75323-F1-model_v4.pdb
O75324 AF-O75324-F1-model_v4.pdb
