Q8TCD1 AF-Q8TCD1-F1-model_v4.pdb
Q8TCD5 AF-Q8TCD5-F1-model_v4.pdb
Q8TCD6 AF-Q8TCD6-F1-model_v4.pdb
Q8TCE6 AF-Q8TCE6-F1-model_v4.pdb
Q8TCE9 AF-Q8TCE9-F1-model_v4.pdb
Q8TCF1 AF-Q8TCF1-F1-model_v4.pdb
Q8TCG1 AF-Q8TCG1-F1-model_v4.pdb
Q8TCG2 AF-Q8TCG2-F1-model_v4.pdb
Q8TCG5 AF-Q8TCG5-F1-model_v4.pdb
Q8TCH9 AF-Q8TCH9-F1-model_v4.pdb
Q8TCI5 AF-Q8TCI5-F1-model_v4.pdb
Q8TCJ0 AF-Q8TCJ0-F1-model_v4.pdb
Q8TCJ2 AF-Q8TCJ2-F1-model_v4.pdb
Q8TCN5 AF-Q8TCN5-F1-model_v4.pdb
Q8TCP9 AF-Q8TCP9-F1-model_v4.pdb
Q8TCQ1 AF-Q8TCQ1-F1-model_v4.pdb
Q8TCS8 AF-Q8TCS8-F1-model_v4.pdb
Q8TCT0 AF-Q8TCT0-F1-model_v4.pdb
Q8TCT1 AF-Q8TCT1-F1-model_v4.pdb
Q8TCT6 AF-Q8TCT6-F1-model_v4.pdb
Q8TCT7 AF-Q8TCT7-F1-model_v4.pdb
Q8TCT8 AF-Q8TCT8-F1-model_v4.pdb
Q8TCT9 AF-Q8TCT9-F1-model_v4.pdb
Q8TCU3 AF-Q8TCU3-F1-model_v4.pdb
Q8TCU4 AF-Q8TCU4-F1-model_v4.pdb
Q8TCU5 AF-Q8TCU5-F1-model_v4.pdb
Q8TCU6 AF-Q8TCU6-F1-model_v4.pdb
Q8TCV5 AF-Q8TCV5-F1-model_v4.pdb
Q8TCW7 AF-Q8TCW7-F1-model_v4.pdb
Q8TCW9 AF-Q8TCW9-F1-model_v4.pdb
Q8TCX1 AF-Q8TCX1-F1-model_v4.pdb
Q8TCX5 AF-Q8TCX5-F1-model_v4.pdb
Q8TCY0 AF-Q8TCY0-F1-model_v4.pdb
Q8TCY5 AF-Q8TCY5-F1-model_v4.pdb
Q8TCY9 AF-Q8TCY9-F1-model_v4.pdb
Q8TCZ2 AF-Q8TCZ2-F1-model_v4.pdb
Q8TCZ7 AF-Q8TCZ7-F1-model_v4.pdb
Q8TD06 AF-Q8TD06-F1-model_v4.pdb
Q8TD07 AF-Q8TD07-F1-model_v4.pdb
Q8TD08 AF-Q8TD08-F1-model_v4.pdb
Q8TD10 AF-Q8TD10-F1-model_v4.pdb
Q8TD16 AF-Q8TD16-F1-model_v4.pdb
Q8TD17 AF-Q8TD17-F1-model_v4.pdb
Q8TD19 AF-Q8TD19-F1-model_v4.pdb
Q8TD20 AF-Q8TD20-F1-model_v4.pdb
Q8TD22 AF-Q8TD22-F1-model_v4.pdb
Q8TD23 AF-Q8TD23-F1-model_v4.pdb
Q8TD26 AF-Q8TD26-F1-model_v4.pdb
Q8TD30 AF-Q8TD30-F1-model_v4.pdb
Q8TD31 AF-Q8TD31-F1-model_v4.pdb
Q8TD33 AF-Q8TD33-F1-model_v4.pdb
Q8TD35 AF-Q8TD35-F1-model_v4.pdb
Q8TD43 AF-Q8TD43-F1-model_v4.pdb
Q8TD46 AF-Q8TD46-F1-model_v4.pdb
Q8TD47 AF-Q8TD47-F1-model_v4.pdb
Q8TD55 AF-Q8TD55-F1-model_v4.pdb
Q8TD57 AF-Q8TD57-F1-model_v4.pdb
Q8TD84 AF-Q8TD84-F1-model_v4.pdb
Q8TD86 AF-Q8TD86-F1-model_v4.pdb
Q8TD90 AF-Q8TD90-F1-model_v4.pdb
Q8TD91 AF-Q8TD91-F1-model_v4.pdb
Q8TD94 AF-Q8TD94-F1-model_v4.pdb
Q8TDB4 AF-Q8TDB4-F1-model_v4.pdb
Q8TE57 AF-Q8TE57-F1-model_v4.pdb
Q8TE60 AF-Q8TE60-F1-model_v4.pdb
Q8TE67 AF-Q8TE67-F1-model_v4.pdb
Q8TE68 AF-Q8TE68-F1-model_v4.pdb
Q8TE69 AF-Q8TE69-F1-model_v4.pdb
Q8TE73 AF-Q8TE73-F1-model_v4.pdb
Q8TE76 AF-Q8TE76-F1-model_v4.pdb
Q8TE77 AF-Q8TE77-F1-model_v4.pdb
Q8TE82 AF-Q8TE82-F1-model_v4.pdb
Q8TE85 AF-Q8TE85-F1-model_v4.pdb
Q8TE96 AF-Q8TE96-F1-model_v4.pdb
Q8TE99 AF-Q8TE99-F1-model_v4.pdb
Q8TEA1 AF-Q8TEA1-F1-model_v4.pdb
