Q8NFA2 AF-Q8NFA2-F1-model_v4.pdb
Q8NFB2 AF-Q8NFB2-F1-model_v4.pdb
Q8NFC6 AF-Q8NFC6-F1-model_v4.pdb
Q8NFD2 AF-Q8NFD2-F1-model_v4.pdb
Q8NFD4 AF-Q8NFD4-F1-model_v4.pdb
Q8NFD5 AF-Q8NFD5-F1-model_v4.pdb
Q8NFF2 AF-Q8NFF2-F1-model_v4.pdb
Q8NFF5 AF-Q8NFF5-F1-model_v4.pdb
Q8NFG4 AF-Q8NFG4-F1-model_v4.pdb
Q8NFH3 AF-Q8NFH3-F1-model_v4.pdb
Q8NFH4 AF-Q8NFH4-F1-model_v4.pdb
Q8NFH5 AF-Q8NFH5-F1-model_v4.pdb
Q8NFH8 AF-Q8NFH8-F1-model_v4.pdb
Q8NFI3 AF-Q8NFI3-F1-model_v4.pdb
Q8NFI4 AF-Q8NFI4-F1-model_v4.pdb
Q8NFJ5 AF-Q8NFJ5-F1-model_v4.pdb
Q8NFJ6 AF-Q8NFJ6-F1-model_v4.pdb
Q8NFJ8 AF-Q8NFJ8-F1-model_v4.pdb
Q8NFJ9 AF-Q8NFJ9-F1-model_v4.pdb
Q8NFK1 AF-Q8NFK1-F1-model_v4.pdb
Q8NFL0 AF-Q8NFL0-F1-model_v4.pdb
Q8NFM4 AF-Q8NFM4-F1-model_v4.pdb
Q8NFM7 AF-Q8NFM7-F1-model_v4.pdb
Q8NFN8 AF-Q8NFN8-F1-model_v4.pdb
Q8NFP0 AF-Q8NFP0-F1-model_v4.pdb
Q8NFP4 AF-Q8NFP4-F1-model_v4.pdb
Q8NFP7 AF-Q8NFP7-F1-model_v4.pdb
Q8NFP9 AF-Q8NFP9-F1-model_v4.pdb
Q8NFQ5 AF-Q8NFQ5-F1-model_v4.pdb
Q8NFQ6 AF-Q8NFQ6-F1-model_v4.pdb
Q8NEZ5 AF-Q8NEZ5-F1-model_v4.pdb
Q8NF37 AF-Q8NF37-F1-model_v4.pdb
Q8NF50 AF-Q8NF50-F1-model_v4.pdb
Q8NF64 AF-Q8NF64-F1-model_v4.pdb
Q8NF67 AF-Q8NF67-F1-model_v4.pdb
Q8NF86 AF-Q8NF86-F1-model_v4.pdb
Q8NF91 AF-Q8NF91-F1-model_v4.pdb
Q8NG77 AF-Q8NG77-F1-model_v4.pdb
Q8NG78 AF-Q8NG78-F1-model_v4.pdb
Q8NG80 AF-Q8NG80-F1-model_v4.pdb
Q8NG81 AF-Q8NG81-F1-model_v4.pdb
Q8NG83 AF-Q8NG83-F1-model_v4.pdb
Q8NG84 AF-Q8NG84-F1-model_v4.pdb
Q8NG85 AF-Q8NG85-F1-model_v4.pdb
Q8NG92 AF-Q8NG92-F1-model_v4.pdb
Q8NG94 AF-Q8NG94-F1-model_v4.pdb
Q8NG95 AF-Q8NG95-F1-model_v4.pdb
Q8NG97 AF-Q8NG97-F1-model_v4.pdb
Q8NG98 AF-Q8NG98-F1-model_v4.pdb
Q8NG99 AF-Q8NG99-F1-model_v4.pdb
Q8NGA0 AF-Q8NGA0-F1-model_v4.pdb
Q8NGA1 AF-Q8NGA1-F1-model_v4.pdb
Q8NGA2 AF-Q8NGA2-F1-model_v4.pdb
Q8NGA4 AF-Q8NGA4-F1-model_v4.pdb
Q8NGA5 AF-Q8NGA5-F1-model_v4.pdb
Q8NGA6 AF-Q8NGA6-F1-model_v4.pdb
Q8NGA8 AF-Q8NGA8-F1-model_v4.pdb
Q8NGB2 AF-Q8NGB2-F1-model_v4.pdb
Q8NGB4 AF-Q8NGB4-F1-model_v4.pdb
Q8NGB6 AF-Q8NGB6-F1-model_v4.pdb
Q8NGB8 AF-Q8NGB8-F1-model_v4.pdb
Q8NGB9 AF-Q8NGB9-F1-model_v4.pdb
Q8NGC0 AF-Q8NGC0-F1-model_v4.pdb
Q8NGC1 AF-Q8NGC1-F1-model_v4.pdb
Q8NGC2 AF-Q8NGC2-F1-model_v4.pdb
Q8NGC3 AF-Q8NGC3-F1-model_v4.pdb
Q8NGC4 AF-Q8NGC4-F1-model_v4.pdb
Q8NGC5 AF-Q8NGC5-F1-model_v4.pdb
Q8TAE7 AF-Q8TAE7-F1-model_v4.pdb
Q8TAE8 AF-Q8TAE8-F1-model_v4.pdb
Q8TAF3 AF-Q8TAF3-F1-model_v4.pdb
Q8TAF5 AF-Q8TAF5-F1-model_v4.pdb
Q8TAF7 AF-Q8TAF7-F1-model_v4.pdb
Q8TAF8 AF-Q8TAF8-F1-model_v4.pdb
Q8TAG5 AF-Q8TAG5-F1-model_v4.pdb
Q8TAG6 AF-Q8TAG6-F1-model_v4.pdb
Q8TAG9 AF-Q8TAG9-F1-model_v4.pdb
Q8TAI1 AF-Q8TAI1-F1-model_v4.pdb
Q8TAI7 AF-Q8TAI7-F1-model_v4.pdb
Q8TAK5 AF-Q8TAK5-F1-model_v4.pdb
Q8TAK6 AF-Q8TAK6-F1-model_v4.pdb
Q8TAL5 AF-Q8TAL5-F1-model_v4.pdb
Q8TAL6 AF-Q8TAL6-F1-model_v4.pdb
Q8TAM1 AF-Q8TAM1-F1-model_v4.pdb
Q8TAM2 AF-Q8TAM2-F1-model_v4.pdb
Q8TAM6 AF-Q8TAM6-F1-model_v4.pdb
Q8TAP4 AF-Q8TAP4-F1-model_v4.pdb
Q8NGJ0 AF-Q8NGJ0-F1-model_v4.pdb
Q8NGJ1 AF-Q8NGJ1-F1-model_v4.pdb
Q8NGJ2 AF-Q8NGJ2-F1-model_v4.pdb
Q8NGJ3 AF-Q8NGJ3-F1-model_v4.pdb
Q8NGJ4 AF-Q8NGJ4-F1-model_v4.pdb
Q8NGJ5 AF-Q8NGJ5-F1-model_v4.pdb
Q8NGJ6 AF-Q8NGJ6-F1-model_v4.pdb
Q8NGJ7 AF-Q8NGJ7-F1-model_v4.pdb
Q8NGJ8 AF-Q8NGJ8-F1-model_v4.pdb
Q8NGJ9 AF-Q8NGJ9-F1-model_v4.pdb
