O14647 AF-O14647-F1-model_v4.pdb
O14653 AF-O14653-F1-model_v4.pdb
O14656 AF-O14656-F1-model_v4.pdb
O14662 AF-O14662-F1-model_v4.pdb
O14672 AF-O14672-F1-model_v4.pdb
O14681 AF-O14681-F1-model_v4.pdb
O14686 AF-O14686-F1-model_v4.pdb
O14717 AF-O14717-F1-model_v4.pdb
O14727 AF-O14727-F1-model_v4.pdb
O14732 AF-O14732-F1-model_v4.pdb
O14733 AF-O14733-F1-model_v4.pdb
O14737 AF-O14737-F1-model_v4.pdb
O14745 AF-O14745-F1-model_v4.pdb
O14746 AF-O14746-F1-model_v4.pdb
O14757 AF-O14757-F1-model_v4.pdb
O14763 AF-O14763-F1-model_v4.pdb
O14770 AF-O14770-F1-model_v4.pdb
O14773 AF-O14773-F1-model_v4.pdb
O14775 AF-O14775-F1-model_v4.pdb
O14776 AF-O14776-F1-model_v4.pdb
O15054 AF-O15054-F1-model_v4.pdb
O15055 AF-O15055-F1-model_v4.pdb
O15056 AF-O15056-F1-model_v4.pdb
O15066 AF-O15066-F1-model_v4.pdb
O15068 AF-O15068-F1-model_v4.pdb
O15091 AF-O15091-F1-model_v4.pdb
O15105 AF-O15105-F1-model_v4.pdb
O15117 AF-O15117-F1-model_v4.pdb
O15374 AF-O15374-F1-model_v4.pdb
O15379 AF-O15379-F1-model_v4.pdb
O15382 AF-O15382-F1-model_v4.pdb
O15393 AF-O15393-F1-model_v4.pdb
O15397 AF-O15397-F1-model_v4.pdb
O15400 AF-O15400-F1-model_v4.pdb
O14936 AF-O14936-F1-model_v4.pdb
O14939 AF-O14939-F1-model_v4.pdb
O14948 AF-O14948-F1-model_v4.pdb
O14958 AF-O14958-F1-model_v4.pdb
O14964 AF-O14964-F1-model_v4.pdb
O14967 AF-O14967-F1-model_v4.pdb
O14972 AF-O14972-F1-model_v4.pdb
O14974 AF-O14974-F1-model_v4.pdb
O14976 AF-O14976-F1-model_v4.pdb
O14979 AF-O14979-F1-model_v4.pdb
O14983 AF-O14983-F1-model_v4.pdb
O15013 AF-O15013-F1-model_v4.pdb
O15014 AF-O15014-F1-model_v4.pdb
O15016 AF-O15016-F1-model_v4.pdb
O15018 AF-O15018-F1-model_v4.pdb
O15020 AF-O15020-F1-model_v4.pdb
