Q9BQS8 AF-Q9BQS8-F1-model_v4.pdb
Q9BQT8 AF-Q9BQT8-F1-model_v4.pdb
Q9BQT9 AF-Q9BQT9-F1-model_v4.pdb
Q9BR39 AF-Q9BR39-F1-model_v4.pdb
Q9BR84 AF-Q9BR84-F1-model_v4.pdb
Q9BRB3 AF-Q9BRB3-F1-model_v4.pdb
Q9BRD0 AF-Q9BRD0-F1-model_v4.pdb
Q9BRI3 AF-Q9BRI3-F1-model_v4.pdb
Q9BRK0 AF-Q9BRK0-F1-model_v4.pdb
Q9BRK3 AF-Q9BRK3-F1-model_v4.pdb
Q9BRN9 AF-Q9BRN9-F1-model_v4.pdb
Q9BRP0 AF-Q9BRP0-F1-model_v4.pdb
Q9BRQ4 AF-Q9BRQ4-F1-model_v4.pdb
Q9BRR0 AF-Q9BRR0-F1-model_v4.pdb
Q9BRR9 AF-Q9BRR9-F1-model_v4.pdb
Q9BRU9 AF-Q9BRU9-F1-model_v4.pdb
Q9BRX5 AF-Q9BRX5-F1-model_v4.pdb
Q9BRY0 AF-Q9BRY0-F1-model_v4.pdb
Q9BRZ2 AF-Q9BRZ2-F1-model_v4.pdb
Q9BS86 AF-Q9BS86-F1-model_v4.pdb
Q9BSA9 AF-Q9BSA9-F1-model_v4.pdb
Q9BSD3 AF-Q9BSD3-F1-model_v4.pdb
Q9BSI4 AF-Q9BSI4-F1-model_v4.pdb
Q9BSJ1 AF-Q9BSJ1-F1-model_v4.pdb
Q9BSJ2 AF-Q9BSJ2-F1-model_v4.pdb
Q9BSQ5 AF-Q9BSQ5-F1-model_v4.pdb
Q9BST9 AF-Q9BST9-F1-model_v4.pdb
Q9BT04 AF-Q9BT04-F1-model_v4.pdb
Q9BT09 AF-Q9BT09-F1-model_v4.pdb
Q9BT22 AF-Q9BT22-F1-model_v4.pdb
Q9BT25 AF-Q9BT25-F1-model_v4.pdb
Q9BT40 AF-Q9BT40-F1-model_v4.pdb
Q9BT81 AF-Q9BT81-F1-model_v4.pdb
Q9BTA9 AF-Q9BTA9-F1-model_v4.pdb
Q9BTC8 AF-Q9BTC8-F1-model_v4.pdb
Q9Y5Z9 AF-Q9Y5Z9-F1-model_v4.pdb
Q9Y603 AF-Q9Y603-F1-model_v4.pdb
Q9ULP0 AF-Q9ULP0-F1-model_v4.pdb
Q9ULP9 AF-Q9ULP9-F1-model_v4.pdb
Q9ULQ1 AF-Q9ULQ1-F1-model_v4.pdb
Q9UL03 AF-Q9UL03-F1-model_v4.pdb
Q9UL12 AF-Q9UL12-F1-model_v4.pdb
Q9UL16 AF-Q9UL16-F1-model_v4.pdb
Q9UL33 AF-Q9UL33-F1-model_v4.pdb
Q9UL36 AF-Q9UL36-F1-model_v4.pdb
Q9UL45 AF-Q9UL45-F1-model_v4.pdb
Q9UL54 AF-Q9UL54-F1-model_v4.pdb
Q9UL58 AF-Q9UL58-F1-model_v4.pdb
Q9UL68 AF-Q9UL68-F1-model_v4.pdb
Q9ULA0 AF-Q9ULA0-F1-model_v4.pdb
Q9ULB1 AF-Q9ULB1-F1-model_v4.pdb
Q9ULC0 AF-Q9ULC0-F1-model_v4.pdb
Q9ULC4 AF-Q9ULC4-F1-model_v4.pdb
Q9ULC5 AF-Q9ULC5-F1-model_v4.pdb
Q9ULC8 AF-Q9ULC8-F1-model_v4.pdb
Q9ULD0 AF-Q9ULD0-F1-model_v4.pdb
Q9ULD2 AF-Q9ULD2-F1-model_v4.pdb
Q9ULD6 AF-Q9ULD6-F1-model_v4.pdb
Q9ULE0 AF-Q9ULE0-F1-model_v4.pdb
Q9UKP3 AF-Q9UKP3-F1-model_v4.pdb
Q9UKP5 AF-Q9UKP5-F1-model_v4.pdb
Q9UKQ2 AF-Q9UKQ2-F1-model_v4.pdb
Q9UKS7 AF-Q9UKS7-F1-model_v4.pdb
Q9UKT9 AF-Q9UKT9-F1-model_v4.pdb
Q9UKU0 AF-Q9UKU0-F1-model_v4.pdb
Q9UKU7 AF-Q9UKU7-F1-model_v4.pdb
Q9UKV0 AF-Q9UKV0-F1-model_v4.pdb
Q9UKV8 AF-Q9UKV8-F1-model_v4.pdb
Q9UKW4 AF-Q9UKW4-F1-model_v4.pdb
Q9UKX2 AF-Q9UKX2-F1-model_v4.pdb
Q9UKX5 AF-Q9UKX5-F1-model_v4.pdb
Q9UKY4 AF-Q9UKY4-F1-model_v4.pdb
Q9UKZ4 AF-Q9UKZ4-F1-model_v4.pdb
Q9ULT0 AF-Q9ULT0-F1-model_v4.pdb
Q9ULU4 AF-Q9ULU4-F1-model_v4.pdb
