Q6ZXV5 AF-Q6ZXV5-F1-model_v4.pdb
Q702N8 AF-Q702N8-F1-model_v4.pdb
Q709C8 AF-Q709C8-F1-model_v4.pdb
Q709F0 AF-Q709F0-F1-model_v4.pdb
Q70CQ1 AF-Q70CQ1-F1-model_v4.pdb
Q70CQ2 AF-Q70CQ2-F1-model_v4.pdb
Q70CQ4 AF-Q70CQ4-F1-model_v4.pdb
Q70EL2 AF-Q70EL2-F1-model_v4.pdb
Q70EL3 AF-Q70EL3-F1-model_v4.pdb
Q70EL4 AF-Q70EL4-F1-model_v4.pdb
Q70HW3 AF-Q70HW3-F1-model_v4.pdb
Q70J99 AF-Q70J99-F1-model_v4.pdb
Q70YC5 AF-Q70YC5-F1-model_v4.pdb
Q70Z35 AF-Q70Z35-F1-model_v4.pdb
Q711Q0 AF-Q711Q0-F1-model_v4.pdb
Q71F23 AF-Q71F23-F1-model_v4.pdb
Q71RH2 AF-Q71RH2-F1-model_v4.pdb
Q71RS6 AF-Q71RS6-F1-model_v4.pdb
Q71SY5 AF-Q71SY5-F1-model_v4.pdb
Q71U36 AF-Q71U36-F1-model_v4.pdb
Q75QN2 AF-Q75QN2-F1-model_v4.pdb
Q75T13 AF-Q75T13-F1-model_v4.pdb
Q765P7 AF-Q765P7-F1-model_v4.pdb
Q76I76 AF-Q76I76-F1-model_v4.pdb
Q76KX8 AF-Q76KX8-F1-model_v4.pdb
Q76L83 AF-Q76L83-F1-model_v4.pdb
Q76LX8 AF-Q76LX8-F1-model_v4.pdb
Q76M96 AF-Q76M96-F1-model_v4.pdb
Q76N32 AF-Q76N32-F1-model_v4.pdb
Q76NI1 AF-Q76NI1-F1-model_v4.pdb
Q7KZI7 AF-Q7KZI7-F1-model_v4.pdb
Q7KZN9 AF-Q7KZN9-F1-model_v4.pdb
Q7L099 AF-Q7L099-F1-model_v4.pdb
Q7L0J3 AF-Q7L0J3-F1-model_v4.pdb
Q7L1I2 AF-Q7L1I2-F1-model_v4.pdb
Q7L266 AF-Q7L266-F1-model_v4.pdb
Q7L2E3 AF-Q7L2E3-F1-model_v4.pdb
Q7L4I2 AF-Q7L4I2-F1-model_v4.pdb
Q7L4P6 AF-Q7L4P6-F1-model_v4.pdb
Q7L576 AF-Q7L576-F1-model_v4.pdb
Q7L590 AF-Q7L590-F1-model_v4.pdb
Q7L592 AF-Q7L592-F1-model_v4.pdb
Q7L5A8 AF-Q7L5A8-F1-model_v4.pdb
Q7L5D6 AF-Q7L5D6-F1-model_v4.pdb
Q7L5N7 AF-Q7L5N7-F1-model_v4.pdb
Q7L7V1 AF-Q7L7V1-F1-model_v4.pdb
Q7L7X3 AF-Q7L7X3-F1-model_v4.pdb
Q7L8W6 AF-Q7L8W6-F1-model_v4.pdb
Q7LBE3 AF-Q7LBE3-F1-model_v4.pdb
Q7LDG7 AF-Q7LDG7-F1-model_v4.pdb
Q7LFX5 AF-Q7LFX5-F1-model_v4.pdb
Q7LG56 AF-Q7LG56-F1-model_v4.pdb
Q7LGA3 AF-Q7LGA3-F1-model_v4.pdb
Q7RTN6 AF-Q7RTN6-F1-model_v4.pdb
Q7RTP0 AF-Q7RTP0-F1-model_v4.pdb
Q7RTP6 AF-Q7RTP6-F1-model_v4.pdb
Q7RTR0 AF-Q7RTR0-F1-model_v4.pdb
Q7RTR2 AF-Q7RTR2-F1-model_v4.pdb
Q7RTS9 AF-Q7RTS9-F1-model_v4.pdb
Q7RTT9 AF-Q7RTT9-F1-model_v4.pdb
Q7RTW8 AF-Q7RTW8-F1-model_v4.pdb
Q7RTX1 AF-Q7RTX1-F1-model_v4.pdb
Q7Z2E3 AF-Q7Z2E3-F1-model_v4.pdb
Q7Z2H8 AF-Q7Z2H8-F1-model_v4.pdb
Q7Z2K6 AF-Q7Z2K6-F1-model_v4.pdb
Q7Z2W7 AF-Q7Z2W7-F1-model_v4.pdb
Q7Z2W9 AF-Q7Z2W9-F1-model_v4.pdb
Q7Z2X4 AF-Q7Z2X4-F1-model_v4.pdb
Q7Z2Y5 AF-Q7Z2Y5-F1-model_v4.pdb
Q7Z2Z1 AF-Q7Z2Z1-F1-model_v4.pdb
Q7Z2Z2 AF-Q7Z2Z2-F1-model_v4.pdb
Q7Z304 AF-Q7Z304-F1-model_v4.pdb
Q7Z333 AF-Q7Z333-F1-model_v4.pdb
Q7Z353 AF-Q7Z353-F1-model_v4.pdb
Q5H9L4 AF-Q5H9L4-F1-model_v4.pdb
Q5H9R4 AF-Q5H9R4-F1-model_v4.pdb
Q5H9S7 AF-Q5H9S7-F1-model_v4.pdb
Q14643 AF-Q14643-F1-model_v4.pdb
Q14644 AF-Q14644-F1-model_v4.pdb
Q14653 AF-Q14653-F1-model_v4.pdb
Q14667 AF-Q14667-F1-model_v4.pdb
Q14669 AF-Q14669-F1-model_v4.pdb
Q5CZC0 AF-Q5CZC0-F17-model_v4.pdb
Q5D0E6 AF-Q5D0E6-F1-model_v4.pdb
Q5DID0 AF-Q5DID0-F1-model_v4.pdb
Q5EB52 AF-Q5EB52-F1-model_v4.pdb
Q14790 AF-Q14790-F1-model_v4.pdb
Q147X3 AF-Q147X3-F1-model_v4.pdb
Q14807 AF-Q14807-F1-model_v4.pdb
Q14814 AF-Q14814-F1-model_v4.pdb
Q14831 AF-Q14831-F1-model_v4.pdb
Q14833 AF-Q14833-F1-model_v4.pdb
Q14839 AF-Q14839-F1-model_v4.pdb
Q14847 AF-Q14847-F1-model_v4.pdb
Q14896 AF-Q14896-F1-model_v4.pdb
Q14914 AF-Q14914-F1-model_v4.pdb
Q5BJF6 AF-Q5BJF6-F1-model_v4.pdb
Q5BJH7 AF-Q5BJH7-F1-model_v4.pdb
Q5BKX6 AF-Q5BKX6-F1-model_v4.pdb
Q14671 AF-Q14671-F1-model_v4.pdb
Q14674 AF-Q14674-F1-model_v4.pdb
Q14676 AF-Q14676-F1-model_v4.pdb
Q14678 AF-Q14678-F1-model_v4.pdb
Q14680 AF-Q14680-F1-model_v4.pdb
Q14684 AF-Q14684-F1-model_v4.pdb
Q14687 AF-Q14687-F1-model_v4.pdb
Q14689 AF-Q14689-F1-model_v4.pdb
Q14693 AF-Q14693-F1-model_v4.pdb
Q14697 AF-Q14697-F1-model_v4.pdb
Q14714 AF-Q14714-F1-model_v4.pdb
Q14722 AF-Q14722-F1-model_v4.pdb
Q14738 AF-Q14738-F1-model_v4.pdb
Q14746 AF-Q14746-F1-model_v4.pdb
Q14773 AF-Q14773-F1-model_v4.pdb
Q14781 AF-Q14781-F1-model_v4.pdb
Q14789 AF-Q14789-F1-model_v4.pdb
Q15013 AF-Q15013-F1-model_v4.pdb
Q15020 AF-Q15020-F1-model_v4.pdb
Q15025 AF-Q15025-F1-model_v4.pdb
Q15029 AF-Q15029-F1-model_v4.pdb
Q15041 AF-Q15041-F1-model_v4.pdb
Q15042 AF-Q15042-F1-model_v4.pdb
