Q6ZMP0 AF-Q6ZMP0-F1-model_v4.pdb
Q6ZMQ8 AF-Q6ZMQ8-F1-model_v4.pdb
Q6ZMR3 AF-Q6ZMR3-F1-model_v4.pdb
Q6ZMR5 AF-Q6ZMR5-F1-model_v4.pdb
Q6ZMS4 AF-Q6ZMS4-F1-model_v4.pdb
Q6ZMS7 AF-Q6ZMS7-F1-model_v4.pdb
Q6ZMT1 AF-Q6ZMT1-F1-model_v4.pdb
Q6ZMT4 AF-Q6ZMT4-F1-model_v4.pdb
Q6ZMT9 AF-Q6ZMT9-F1-model_v4.pdb
Q6ZMU1 AF-Q6ZMU1-F1-model_v4.pdb
Q6ZMU5 AF-Q6ZMU5-F1-model_v4.pdb
Q6ZMV5 AF-Q6ZMV5-F1-model_v4.pdb
Q6ZMV7 AF-Q6ZMV7-F1-model_v4.pdb
Q6ZMV8 AF-Q6ZMV8-F1-model_v4.pdb
Q6ZMV9 AF-Q6ZMV9-F1-model_v4.pdb
Q6ZMW2 AF-Q6ZMW2-F1-model_v4.pdb
Q6ZMW3 AF-Q6ZMW3-F1-model_v4.pdb
Q6ZMY3 AF-Q6ZMY3-F1-model_v4.pdb
Q6ZMY6 AF-Q6ZMY6-F1-model_v4.pdb
Q6ZMY9 AF-Q6ZMY9-F1-model_v4.pdb
Q6ZMZ0 AF-Q6ZMZ0-F1-model_v4.pdb
Q6ZMZ3 AF-Q6ZMZ3-F1-model_v4.pdb
Q6ZN01 AF-Q6ZN01-F1-model_v4.pdb
Q6ZN03 AF-Q6ZN03-F1-model_v4.pdb
Q6ZN04 AF-Q6ZN04-F1-model_v4.pdb
Q6ZN06 AF-Q6ZN06-F1-model_v4.pdb
Q6ZN08 AF-Q6ZN08-F1-model_v4.pdb
Q6ZN11 AF-Q6ZN11-F1-model_v4.pdb
Q6ZN16 AF-Q6ZN16-F1-model_v4.pdb
Q6ZN17 AF-Q6ZN17-F1-model_v4.pdb
Q6ZN18 AF-Q6ZN18-F1-model_v4.pdb
Q6ZN19 AF-Q6ZN19-F1-model_v4.pdb
Q6ZN28 AF-Q6ZN28-F1-model_v4.pdb
Q6ZN30 AF-Q6ZN30-F1-model_v4.pdb
Q6ZN32 AF-Q6ZN32-F1-model_v4.pdb
Q6ZN44 AF-Q6ZN44-F1-model_v4.pdb
Q6ZN54 AF-Q6ZN54-F1-model_v4.pdb
Q6ZN55 AF-Q6ZN55-F1-model_v4.pdb
Q6ZN57 AF-Q6ZN57-F1-model_v4.pdb
Q6ZN66 AF-Q6ZN66-F1-model_v4.pdb
Q6ZN68 AF-Q6ZN68-F1-model_v4.pdb
Q6ZN79 AF-Q6ZN79-F1-model_v4.pdb
Q6ZN84 AF-Q6ZN84-F1-model_v4.pdb
Q6ZN92 AF-Q6ZN92-F1-model_v4.pdb
Q6ZNA1 AF-Q6ZNA1-F1-model_v4.pdb
