Q96DT7 AF-Q96DT7-F1-model_v4.pdb
Q96DU3 AF-Q96DU3-F1-model_v4.pdb
Q96DU7 AF-Q96DU7-F1-model_v4.pdb
Q96DU9 AF-Q96DU9-F1-model_v4.pdb
Q96DV4 AF-Q96DV4-F1-model_v4.pdb
Q96DW6 AF-Q96DW6-F1-model_v4.pdb
Q96DX4 AF-Q96DX4-F1-model_v4.pdb
Q96DX5 AF-Q96DX5-F1-model_v4.pdb
Q96DX7 AF-Q96DX7-F1-model_v4.pdb
Q96DX8 AF-Q96DX8-F1-model_v4.pdb
Q96DY2 AF-Q96DY2-F1-model_v4.pdb
Q96DY7 AF-Q96DY7-F1-model_v4.pdb
Q96DZ1 AF-Q96DZ1-F1-model_v4.pdb
Q96DZ5 AF-Q96DZ5-F1-model_v4.pdb
Q96DZ7 AF-Q96DZ7-F1-model_v4.pdb
Q96DZ9 AF-Q96DZ9-F1-model_v4.pdb
Q96E09 AF-Q96E09-F1-model_v4.pdb
Q96E11 AF-Q96E11-F1-model_v4.pdb
Q96E14 AF-Q96E14-F1-model_v4.pdb
Q96E16 AF-Q96E16-F1-model_v4.pdb
Q96E17 AF-Q96E17-F1-model_v4.pdb
Q96E22 AF-Q96E22-F1-model_v4.pdb
Q96E29 AF-Q96E29-F1-model_v4.pdb
Q96E35 AF-Q96E35-F1-model_v4.pdb
Q96E39 AF-Q96E39-F1-model_v4.pdb
Q96E40 AF-Q96E40-F1-model_v4.pdb
Q96CW1 AF-Q96CW1-F1-model_v4.pdb
Q96CW5 AF-Q96CW5-F1-model_v4.pdb
Q96CW6 AF-Q96CW6-F1-model_v4.pdb
Q96CW9 AF-Q96CW9-F1-model_v4.pdb
Q96CX2 AF-Q96CX2-F1-model_v4.pdb
Q96CX3 AF-Q96CX3-F1-model_v4.pdb
Q96CX6 AF-Q96CX6-F1-model_v4.pdb
Q96D03 AF-Q96D03-F1-model_v4.pdb
Q96D05 AF-Q96D05-F1-model_v4.pdb
Q96D09 AF-Q96D09-F1-model_v4.pdb
Q96D15 AF-Q96D15-F1-model_v4.pdb
Q96D21 AF-Q96D21-F1-model_v4.pdb
Q96D31 AF-Q96D31-F1-model_v4.pdb
Q96D42 AF-Q96D42-F1-model_v4.pdb
Q96D46 AF-Q96D46-F1-model_v4.pdb
Q96D53 AF-Q96D53-F1-model_v4.pdb
Q96D59 AF-Q96D59-F1-model_v4.pdb
Q96D70 AF-Q96D70-F1-model_v4.pdb
Q96D71 AF-Q96D71-F1-model_v4.pdb
Q96D96 AF-Q96D96-F1-model_v4.pdb
Q96D98 AF-Q96D98-F1-model_v4.pdb
Q96DA0 AF-Q96DA0-F1-model_v4.pdb
Q96DA2 AF-Q96DA2-F1-model_v4.pdb
Q96DA6 AF-Q96DA6-F1-model_v4.pdb
Q96DB2 AF-Q96DB2-F1-model_v4.pdb
Q96DB5 AF-Q96DB5-F1-model_v4.pdb
Q96DB9 AF-Q96DB9-F1-model_v4.pdb
Q96DC7 AF-Q96DC7-F1-model_v4.pdb
Q96DC8 AF-Q96DC8-F1-model_v4.pdb
Q96DC9 AF-Q96DC9-F1-model_v4.pdb
Q96DD0 AF-Q96DD0-F1-model_v4.pdb
Q96DD7 AF-Q96DD7-F1-model_v4.pdb
Q96DE0 AF-Q96DE0-F1-model_v4.pdb
Q96DE5 AF-Q96DE5-F1-model_v4.pdb
Q96DE9 AF-Q96DE9-F1-model_v4.pdb
Q96DF8 AF-Q96DF8-F1-model_v4.pdb
Q96DG6 AF-Q96DG6-F1-model_v4.pdb
Q96DH6 AF-Q96DH6-F1-model_v4.pdb
Q96DI7 AF-Q96DI7-F1-model_v4.pdb
Q96DL1 AF-Q96DL1-F1-model_v4.pdb
Q96DM1 AF-Q96DM1-F1-model_v4.pdb
Q96DM3 AF-Q96DM3-F1-model_v4.pdb
Q96DN0 AF-Q96DN0-F1-model_v4.pdb
Q96DN2 AF-Q96DN2-F1-model_v4.pdb
Q96DN5 AF-Q96DN5-F1-model_v4.pdb
Q96DN6 AF-Q96DN6-F1-model_v4.pdb
Q96DP5 AF-Q96DP5-F1-model_v4.pdb
Q96DR4 AF-Q96DR4-F1-model_v4.pdb
Q96DR5 AF-Q96DR5-F1-model_v4.pdb
Q96C03 AF-Q96C03-F1-model_v4.pdb
Q96C10 AF-Q96C10-F1-model_v4.pdb
Q96C11 AF-Q96C11-F1-model_v4.pdb
Q96C12 AF-Q96C12-F1-model_v4.pdb
Q96C19 AF-Q96C19-F1-model_v4.pdb
Q96C23 AF-Q96C23-F1-model_v4.pdb
Q96C24 AF-Q96C24-F1-model_v4.pdb
Q96C28 AF-Q96C28-F1-model_v4.pdb
Q96C34 AF-Q96C34-F1-model_v4.pdb
Q96C36 AF-Q96C36-F1-model_v4.pdb
Q96C45 AF-Q96C45-F1-model_v4.pdb
Q96C55 AF-Q96C55-F1-model_v4.pdb
Q96C57 AF-Q96C57-F1-model_v4.pdb
