Q9ULM2 AF-Q9ULM2-F1-model_v4.pdb
Q9ULM3 AF-Q9ULM3-F1-model_v4.pdb
Q9ULM6 AF-Q9ULM6-F1-model_v4.pdb
Q9ULN7 AF-Q9ULN7-F1-model_v4.pdb
Q9ULP0 AF-Q9ULP0-F1-model_v4.pdb
Q9ULP9 AF-Q9ULP9-F1-model_v4.pdb
Q9ULQ0 AF-Q9ULQ0-F1-model_v4.pdb
Q9ULQ1 AF-Q9ULQ1-F1-model_v4.pdb
Q9ULR0 AF-Q9ULR0-F1-model_v4.pdb
Q9ULR3 AF-Q9ULR3-F1-model_v4.pdb
Q9UL03 AF-Q9UL03-F1-model_v4.pdb
Q9UL12 AF-Q9UL12-F1-model_v4.pdb
Q9UL15 AF-Q9UL15-F1-model_v4.pdb
Q9UL16 AF-Q9UL16-F1-model_v4.pdb
Q9UL17 AF-Q9UL17-F1-model_v4.pdb
Q9UL18 AF-Q9UL18-F1-model_v4.pdb
Q9UL19 AF-Q9UL19-F1-model_v4.pdb
Q9UL25 AF-Q9UL25-F1-model_v4.pdb
Q9UL26 AF-Q9UL26-F1-model_v4.pdb
Q9UL33 AF-Q9UL33-F1-model_v4.pdb
Q9UL36 AF-Q9UL36-F1-model_v4.pdb
Q9UL40 AF-Q9UL40-F1-model_v4.pdb
Q9UL41 AF-Q9UL41-F1-model_v4.pdb
Q9UL42 AF-Q9UL42-F1-model_v4.pdb
Q9UL45 AF-Q9UL45-F1-model_v4.pdb
Q9UL46 AF-Q9UL46-F1-model_v4.pdb
Q9UL49 AF-Q9UL49-F1-model_v4.pdb
Q9UL51 AF-Q9UL51-F1-model_v4.pdb
Q9UL52 AF-Q9UL52-F1-model_v4.pdb
Q9UL54 AF-Q9UL54-F1-model_v4.pdb
Q9UL58 AF-Q9UL58-F1-model_v4.pdb
Q9UL59 AF-Q9UL59-F1-model_v4.pdb
Q9UL62 AF-Q9UL62-F1-model_v4.pdb
Q9UL63 AF-Q9UL63-F1-model_v4.pdb
Q9UL68 AF-Q9UL68-F1-model_v4.pdb
Q9ULA0 AF-Q9ULA0-F1-model_v4.pdb
Q9ULB1 AF-Q9ULB1-F1-model_v4.pdb
Q9ULB4 AF-Q9ULB4-F1-model_v4.pdb
Q9ULB5 AF-Q9ULB5-F1-model_v4.pdb
Q9ULC0 AF-Q9ULC0-F1-model_v4.pdb
Q9ULC3 AF-Q9ULC3-F1-model_v4.pdb
Q9ULC4 AF-Q9ULC4-F1-model_v4.pdb
Q9ULC5 AF-Q9ULC5-F1-model_v4.pdb
Q9ULC6 AF-Q9ULC6-F1-model_v4.pdb
Q9ULC8 AF-Q9ULC8-F1-model_v4.pdb
Q9ULD0 AF-Q9ULD0-F1-model_v4.pdb
Q9ULD2 AF-Q9ULD2-F1-model_v4.pdb
Q9ULD4 AF-Q9ULD4-F1-model_v4.pdb
Q9ULD5 AF-Q9ULD5-F1-model_v4.pdb
Q9ULD6 AF-Q9ULD6-F1-model_v4.pdb
Q9ULD8 AF-Q9ULD8-F1-model_v4.pdb
Q9ULD9 AF-Q9ULD9-F1-model_v4.pdb
Q9ULE0 AF-Q9ULE0-F1-model_v4.pdb
Q9ULE3 AF-Q9ULE3-F1-model_v4.pdb
Q9ULE4 AF-Q9ULE4-F1-model_v4.pdb
Q9ULE6 AF-Q9ULE6-F1-model_v4.pdb
Q9ULF5 AF-Q9ULF5-F1-model_v4.pdb
Q9ULG1 AF-Q9ULG1-F1-model_v4.pdb
Q9ULG3 AF-Q9ULG3-F1-model_v4.pdb
Q9ULG6 AF-Q9ULG6-F1-model_v4.pdb
Q9UKN8 AF-Q9UKN8-F1-model_v4.pdb
Q9UKP3 AF-Q9UKP3-F1-model_v4.pdb
Q9UKP4 AF-Q9UKP4-F1-model_v4.pdb
Q9UKP5 AF-Q9UKP5-F1-model_v4.pdb
Q9UKP6 AF-Q9UKP6-F1-model_v4.pdb
Q9UKQ2 AF-Q9UKQ2-F1-model_v4.pdb
Q9UKQ9 AF-Q9UKQ9-F1-model_v4.pdb
Q9UKR0 AF-Q9UKR0-F1-model_v4.pdb
Q9UKR3 AF-Q9UKR3-F1-model_v4.pdb
Q9UKR5 AF-Q9UKR5-F1-model_v4.pdb
Q9UKR8 AF-Q9UKR8-F1-model_v4.pdb
Q9UKS6 AF-Q9UKS6-F1-model_v4.pdb
Q9UKS7 AF-Q9UKS7-F1-model_v4.pdb
Q9UKT4 AF-Q9UKT4-F1-model_v4.pdb
Q9UKT5 AF-Q9UKT5-F1-model_v4.pdb
Q9UKT6 AF-Q9UKT6-F1-model_v4.pdb
Q9UKT7 AF-Q9UKT7-F1-model_v4.pdb
Q9UKT8 AF-Q9UKT8-F1-model_v4.pdb
Q9UKT9 AF-Q9UKT9-F1-model_v4.pdb
Q9UKU0 AF-Q9UKU0-F1-model_v4.pdb
Q9UKU6 AF-Q9UKU6-F1-model_v4.pdb
Q9UKU7 AF-Q9UKU7-F1-model_v4.pdb
Q9UKU9 AF-Q9UKU9-F1-model_v4.pdb
Q9UKV0 AF-Q9UKV0-F1-model_v4.pdb
Q9UKV3 AF-Q9UKV3-F1-model_v4.pdb
Q9UKV5 AF-Q9UKV5-F1-model_v4.pdb
Q9UKV8 AF-Q9UKV8-F1-model_v4.pdb
Q9UKW4 AF-Q9UKW4-F1-model_v4.pdb
Q9UKW6 AF-Q9UKW6-F1-model_v4.pdb
Q9UKX2 AF-Q9UKX2-F1-model_v4.pdb
Q9UKX3 AF-Q9UKX3-F1-model_v4.pdb
Q9UKX5 AF-Q9UKX5-F1-model_v4.pdb
Q9UKX7 AF-Q9UKX7-F1-model_v4.pdb
Q9UKY0 AF-Q9UKY0-F1-model_v4.pdb
Q9UKY1 AF-Q9UKY1-F1-model_v4.pdb
Q9UKY3 AF-Q9UKY3-F1-model_v4.pdb
Q9UKY4 AF-Q9UKY4-F1-model_v4.pdb
Q9UKY7 AF-Q9UKY7-F1-model_v4.pdb
Q9UKZ1 AF-Q9UKZ1-F1-model_v4.pdb
Q9UKZ4 AF-Q9UKZ4-F1-model_v4.pdb
Q9UKZ9 AF-Q9UKZ9-F1-model_v4.pdb
Q9UL01 AF-Q9UL01-F1-model_v4.pdb
Q9ULR5 AF-Q9ULR5-F1-model_v4.pdb
Q9ULS5 AF-Q9ULS5-F1-model_v4.pdb
Q9ULS6 AF-Q9ULS6-F1-model_v4.pdb
Q9ULT0 AF-Q9ULT0-F1-model_v4.pdb
Q9ULT6 AF-Q9ULT6-F1-model_v4.pdb
Q9ULT8 AF-Q9ULT8-F1-model_v4.pdb
Q9ULU4 AF-Q9ULU4-F1-model_v4.pdb
Q9ULU8 AF-Q9ULU8-F1-model_v4.pdb
Q9ULV0 AF-Q9ULV0-F1-model_v4.pdb
Q9ULV1 AF-Q9ULV1-F1-model_v4.pdb
Q9ULV3 AF-Q9ULV3-F1-model_v4.pdb
Q9ULV4 AF-Q9ULV4-F1-model_v4.pdb
Q9ULV5 AF-Q9ULV5-F1-model_v4.pdb
Q9ULV8 AF-Q9ULV8-F1-model_v4.pdb
Q9ULW0 AF-Q9ULW0-F1-model_v4.pdb
Q9ULW2 AF-Q9ULW2-F1-model_v4.pdb
Q9ULW3 AF-Q9ULW3-F1-model_v4.pdb
Q9ULW5 AF-Q9ULW5-F1-model_v4.pdb
Q9ULW6 AF-Q9ULW6-F1-model_v4.pdb
Q9ULW8 AF-Q9ULW8-F1-model_v4.pdb
Q9ULX3 AF-Q9ULX3-F1-model_v4.pdb
Q9ULX5 AF-Q9ULX5-F1-model_v4.pdb
Q9ULX6 AF-Q9ULX6-F1-model_v4.pdb
Q9ULX7 AF-Q9ULX7-F1-model_v4.pdb
Q9ULX9 AF-Q9ULX9-F1-model_v4.pdb
Q9ULY5 AF-Q9ULY5-F1-model_v4.pdb
Q9ULZ0 AF-Q9ULZ0-F1-model_v4.pdb
Q9ULZ1 AF-Q9ULZ1-F1-model_v4.pdb
Q9ULZ2 AF-Q9ULZ2-F1-model_v4.pdb
Q9ULZ3 AF-Q9ULZ3-F1-model_v4.pdb
Q9ULZ9 AF-Q9ULZ9-F1-model_v4.pdb
Q9UM00 AF-Q9UM00-F1-model_v4.pdb
Q9UM01 AF-Q9UM01-F1-model_v4.pdb
Q9UM07 AF-Q9UM07-F1-model_v4.pdb
Q9UM11 AF-Q9UM11-F1-model_v4.pdb
Q9UM13 AF-Q9UM13-F1-model_v4.pdb
Q9UM19 AF-Q9UM19-F1-model_v4.pdb
Q9UM21 AF-Q9UM21-F1-model_v4.pdb
Q9UM22 AF-Q9UM22-F1-model_v4.pdb
Q9UM44 AF-Q9UM44-F1-model_v4.pdb
Q9UM47 AF-Q9UM47-F1-model_v4.pdb
Q9UM54 AF-Q9UM54-F1-model_v4.pdb
Q9UM63 AF-Q9UM63-F1-model_v4.pdb
Q9UM73 AF-Q9UM73-F1-model_v4.pdb
Q9UM82 AF-Q9UM82-F1-model_v4.pdb
Q9UMD9 AF-Q9UMD9-F1-model_v4.pdb
Q9UMF0 AF-Q9UMF0-F1-model_v4.pdb
Q9UMN6 AF-Q9UMN6-F1-model_v4.pdb
Q9UMQ3 AF-Q9UMQ3-F1-model_v4.pdb
Q9UMQ6 AF-Q9UMQ6-F1-model_v4.pdb
Q9UMR2 AF-Q9UMR2-F1-model_v4.pdb
Q9UMR3 AF-Q9UMR3-F1-model_v4.pdb
Q9UMR5 AF-Q9UMR5-F1-model_v4.pdb
Q9UMR7 AF-Q9UMR7-F1-model_v4.pdb
Q9UMS0 AF-Q9UMS0-F1-model_v4.pdb
Q9UMS4 AF-Q9UMS4-F1-model_v4.pdb
Q9UMS5 AF-Q9UMS5-F1-model_v4.pdb
Q9UMS6 AF-Q9UMS6-F1-model_v4.pdb
Q9UMW8 AF-Q9UMW8-F1-model_v4.pdb
Q9UMX0 AF-Q9UMX0-F1-model_v4.pdb
Q9UMX1 AF-Q9UMX1-F1-model_v4.pdb
Q9UMX2 AF-Q9UMX2-F1-model_v4.pdb
Q9UMX3 AF-Q9UMX3-F1-model_v4.pdb
Q9UMX5 AF-Q9UMX5-F1-model_v4.pdb
Q9UMX6 AF-Q9UMX6-F1-model_v4.pdb
Q9UMX9 AF-Q9UMX9-F1-model_v4.pdb
Q9UMY1 AF-Q9UMY1-F1-model_v4.pdb
Q9UMY4 AF-Q9UMY4-F1-model_v4.pdb
Q9UMZ2 AF-Q9UMZ2-F1-model_v4.pdb
Q9UMZ3 AF-Q9UMZ3-F1-model_v4.pdb
Q9UN19 AF-Q9UN19-F1-model_v4.pdb
Q9UN30 AF-Q9UN30-F1-model_v4.pdb
Q9UN36 AF-Q9UN36-F1-model_v4.pdb
