Q3B8N5 AF-Q3B8N5-F1-model_v4.pdb
Q3BBV0 AF-Q3BBV0-F1-model_v4.pdb
Q3KNV8 AF-Q3KNV8-F1-model_v4.pdb
Q3KP44 AF-Q3KP44-F1-model_v4.pdb
Q3KP66 AF-Q3KP66-F1-model_v4.pdb
Q16270 AF-Q16270-F1-model_v4.pdb
Q16281 AF-Q16281-F1-model_v4.pdb
Q16288 AF-Q16288-F1-model_v4.pdb
Q16342 AF-Q16342-F1-model_v4.pdb
Q16348 AF-Q16348-F1-model_v4.pdb
Q16363 AF-Q16363-F1-model_v4.pdb
Q16478 AF-Q16478-F1-model_v4.pdb
Q16512 AF-Q16512-F1-model_v4.pdb
Q16515 AF-Q16515-F1-model_v4.pdb
Q16531 AF-Q16531-F1-model_v4.pdb
Q16539 AF-Q16539-F1-model_v4.pdb
Q16555 AF-Q16555-F1-model_v4.pdb
Q16558 AF-Q16558-F1-model_v4.pdb
Q16563 AF-Q16563-F1-model_v4.pdb
Q16570 AF-Q16570-F1-model_v4.pdb
Q2TAL5 AF-Q2TAL5-F1-model_v4.pdb
Q2TAZ0 AF-Q2TAZ0-F1-model_v4.pdb
Q2TB18 AF-Q2TB18-F1-model_v4.pdb
Q2TBA0 AF-Q2TBA0-F1-model_v4.pdb
Q2TBF2 AF-Q2TBF2-F1-model_v4.pdb
Q2UY09 AF-Q2UY09-F1-model_v4.pdb
Q2V2M9 AF-Q2V2M9-F1-model_v4.pdb
Q2VPK5 AF-Q2VPK5-F1-model_v4.pdb
Q2Y0W8 AF-Q2Y0W8-F1-model_v4.pdb
Q2YD98 AF-Q2YD98-F1-model_v4.pdb
Q30201 AF-Q30201-F1-model_v4.pdb
Q32M45 AF-Q32M45-F1-model_v4.pdb
Q16589 AF-Q16589-F1-model_v4.pdb
Q16595 AF-Q16595-F1-model_v4.pdb
Q16610 AF-Q16610-F1-model_v4.pdb
Q2M2Z5 AF-Q2M2Z5-F1-model_v4.pdb
Q2M385 AF-Q2M385-F1-model_v4.pdb
Q2M389 AF-Q2M389-F1-model_v4.pdb
Q2M3C7 AF-Q2M3C7-F1-model_v4.pdb
Q2M3G0 AF-Q2M3G0-F1-model_v4.pdb
Q2M3G4 AF-Q2M3G4-F1-model_v4.pdb
Q2M3M2 AF-Q2M3M2-F1-model_v4.pdb
Q2M3R5 AF-Q2M3R5-F1-model_v4.pdb
Q2M3X9 AF-Q2M3X9-F1-model_v4.pdb
Q2MKA7 AF-Q2MKA7-F1-model_v4.pdb
Q2MV58 AF-Q2MV58-F1-model_v4.pdb
Q2NKJ3 AF-Q2NKJ3-F1-model_v4.pdb
Q2NL67 AF-Q2NL67-F1-model_v4.pdb
Q2PPJ7 AF-Q2PPJ7-F1-model_v4.pdb
Q2T9J0 AF-Q2T9J0-F1-model_v4.pdb
Q2TAA8 AF-Q2TAA8-F1-model_v4.pdb
Q2TAC6 AF-Q2TAC6-F1-model_v4.pdb
Q16769 AF-Q16769-F1-model_v4.pdb
Q16799 AF-Q16799-F1-model_v4.pdb
Q16821 AF-Q16821-F1-model_v4.pdb
Q16822 AF-Q16822-F1-model_v4.pdb
Q16827 AF-Q16827-F1-model_v4.pdb
Q16828 AF-Q16828-F1-model_v4.pdb
Q16831 AF-Q16831-F1-model_v4.pdb
Q16836 AF-Q16836-F1-model_v4.pdb
Q16850 AF-Q16850-F1-model_v4.pdb
Q16851 AF-Q16851-F1-model_v4.pdb
Q16853 AF-Q16853-F1-model_v4.pdb
Q16854 AF-Q16854-F1-model_v4.pdb
Q2M2H8 AF-Q2M2H8-F1-model_v4.pdb
Q2M2I8 AF-Q2M2I8-F1-model_v4.pdb
Q16611 AF-Q16611-F1-model_v4.pdb
Q16613 AF-Q16613-F1-model_v4.pdb
Q16619 AF-Q16619-F1-model_v4.pdb
Q16620 AF-Q16620-F1-model_v4.pdb
Q16623 AF-Q16623-F1-model_v4.pdb
Q16625 AF-Q16625-F1-model_v4.pdb
Q16629 AF-Q16629-F1-model_v4.pdb
Q16635 AF-Q16635-F1-model_v4.pdb
Q16637 AF-Q16637-F1-model_v4.pdb
Q16643 AF-Q16643-F1-model_v4.pdb
Q16650 AF-Q16650-F1-model_v4.pdb
Q16651 AF-Q16651-F1-model_v4.pdb
Q16653 AF-Q16653-F1-model_v4.pdb
Q16665 AF-Q16665-F1-model_v4.pdb
Q16666 AF-Q16666-F1-model_v4.pdb
Q16671 AF-Q16671-F1-model_v4.pdb
Q16698 AF-Q16698-F1-model_v4.pdb
Q16719 AF-Q16719-F1-model_v4.pdb
Q16720 AF-Q16720-F1-model_v4.pdb
Q16760 AF-Q16760-F1-model_v4.pdb
Q27J81 AF-Q27J81-F1-model_v4.pdb
Q29983 AF-Q29983-F1-model_v4.pdb
Q2I0M4 AF-Q2I0M4-F1-model_v4.pdb
Q2I0M5 AF-Q2I0M5-F1-model_v4.pdb
Q2KHM9 AF-Q2KHM9-F1-model_v4.pdb
Q2KHT3 AF-Q2KHT3-F1-model_v4.pdb
Q2KJY2 AF-Q2KJY2-F1-model_v4.pdb
Q2LD37 AF-Q2LD37-F1-model_v4.pdb
Q2M1K9 AF-Q2M1K9-F1-model_v4.pdb
Q2M218 AF-Q2M218-F1-model_v4.pdb
Q16891 AF-Q16891-F1-model_v4.pdb
Q17R60 AF-Q17R60-F1-model_v4.pdb
Q17RF5 AF-Q17RF5-F1-model_v4.pdb
Q17RW2 AF-Q17RW2-F1-model_v4.pdb
Q18PE1 AF-Q18PE1-F1-model_v4.pdb
Q1HG43 AF-Q1HG43-F1-model_v4.pdb
Q1HG44 AF-Q1HG44-F1-model_v4.pdb
Q1MSJ5 AF-Q1MSJ5-F1-model_v4.pdb
Q1MX18 AF-Q1MX18-F1-model_v4.pdb
Q1XH10 AF-Q1XH10-F1-model_v4.pdb
Q6PIF6 AF-Q6PIF6-F1-model_v4.pdb
Q6PIJ6 AF-Q6PIJ6-F1-model_v4.pdb
Q6PIS1 AF-Q6PIS1-F1-model_v4.pdb
Q6PIY5 AF-Q6PIY5-F1-model_v4.pdb
Q6PJF5 AF-Q6PJF5-F1-model_v4.pdb
Q6PJG6 AF-Q6PJG6-F1-model_v4.pdb
Q6PJI9 AF-Q6PJI9-F1-model_v4.pdb
Q6PJT7 AF-Q6PJT7-F1-model_v4.pdb
Q6PKC3 AF-Q6PKC3-F1-model_v4.pdb
Q6PKG0 AF-Q6PKG0-F1-model_v4.pdb
Q6Q0C0 AF-Q6Q0C0-F1-model_v4.pdb
Q6Q0C1 AF-Q6Q0C1-F1-model_v4.pdb
Q6Q4G3 AF-Q6Q4G3-F1-model_v4.pdb
Q6QAJ8 AF-Q6QAJ8-F1-model_v4.pdb
Q6QEF8 AF-Q6QEF8-F1-model_v4.pdb
Q6R327 AF-Q6R327-F1-model_v4.pdb
Q6RFH5 AF-Q6RFH5-F1-model_v4.pdb
Q6S8J7 AF-Q6S8J7-F1-model_v4.pdb
Q6SJ93 AF-Q6SJ93-F1-model_v4.pdb
Q6SZW1 AF-Q6SZW1-F1-model_v4.pdb
Q6T4R5 AF-Q6T4R5-F1-model_v4.pdb
Q6TCH7 AF-Q6TCH7-F1-model_v4.pdb
Q6TFL3 AF-Q6TFL3-F1-model_v4.pdb
Q6TFL4 AF-Q6TFL4-F1-model_v4.pdb
Q6U841 AF-Q6U841-F1-model_v4.pdb
Q6UB98 AF-Q6UB98-F1-model_v4.pdb
Q6UN15 AF-Q6UN15-F1-model_v4.pdb
Q6UUV7 AF-Q6UUV7-F1-model_v4.pdb
Q6UVM3 AF-Q6UVM3-F1-model_v4.pdb
Q6UW02 AF-Q6UW02-F1-model_v4.pdb
Q6UW15 AF-Q6UW15-F1-model_v4.pdb
Q6UWE0 AF-Q6UWE0-F1-model_v4.pdb
Q6UWL2 AF-Q6UWL2-F1-model_v4.pdb
Q6UWU2 AF-Q6UWU2-F1-model_v4.pdb
