Q5H9B9 AF-Q5H9B9-F1-model_v4.pdb
Q5H9E4 AF-Q5H9E4-F1-model_v4.pdb
Q5H9F3 AF-Q5H9F3-F1-model_v4.pdb
Q5H9I0 AF-Q5H9I0-F1-model_v4.pdb
Q5H9J7 AF-Q5H9J7-F1-model_v4.pdb
Q5H9J9 AF-Q5H9J9-F1-model_v4.pdb
Q5H9K5 AF-Q5H9K5-F1-model_v4.pdb
Q5H9L2 AF-Q5H9L2-F1-model_v4.pdb
Q5H9L4 AF-Q5H9L4-F1-model_v4.pdb
Q5H9M0 AF-Q5H9M0-F1-model_v4.pdb
Q5H9R4 AF-Q5H9R4-F1-model_v4.pdb
Q5H9R7 AF-Q5H9R7-F1-model_v4.pdb
Q5H9S7 AF-Q5H9S7-F1-model_v4.pdb
Q5H9T9 AF-Q5H9T9-F1-model_v4.pdb
Q5H9U9 AF-Q5H9U9-F1-model_v4.pdb
Q5HY64 AF-Q5HY64-F1-model_v4.pdb
Q14641 AF-Q14641-F1-model_v4.pdb
Q14642 AF-Q14642-F1-model_v4.pdb
Q14643 AF-Q14643-F1-model_v4.pdb
Q14644 AF-Q14644-F1-model_v4.pdb
Q14651 AF-Q14651-F1-model_v4.pdb
Q14653 AF-Q14653-F1-model_v4.pdb
Q14654 AF-Q14654-F1-model_v4.pdb
Q14656 AF-Q14656-F1-model_v4.pdb
Q14657 AF-Q14657-F1-model_v4.pdb
Q14667 AF-Q14667-F1-model_v4.pdb
Q14669 AF-Q14669-F1-model_v4.pdb
Q5CZC0 AF-Q5CZC0-F17-model_v4.pdb
Q5D0E6 AF-Q5D0E6-F1-model_v4.pdb
Q5D1E8 AF-Q5D1E8-F1-model_v4.pdb
Q5D862 AF-Q5D862-F1-model_v4.pdb
Q5DID0 AF-Q5DID0-F1-model_v4.pdb
Q5DJT8 AF-Q5DJT8-F1-model_v4.pdb
Q5DT21 AF-Q5DT21-F1-model_v4.pdb
Q5DX21 AF-Q5DX21-F1-model_v4.pdb
Q5EB52 AF-Q5EB52-F1-model_v4.pdb
Q5EBL2 AF-Q5EBL2-F1-model_v4.pdb
Q14790 AF-Q14790-F1-model_v4.pdb
Q147U1 AF-Q147U1-F1-model_v4.pdb
Q147U7 AF-Q147U7-F1-model_v4.pdb
Q147X3 AF-Q147X3-F1-model_v4.pdb
Q14802 AF-Q14802-F1-model_v4.pdb
Q14807 AF-Q14807-F1-model_v4.pdb
Q14814 AF-Q14814-F1-model_v4.pdb
Q14831 AF-Q14831-F1-model_v4.pdb
Q14832 AF-Q14832-F1-model_v4.pdb
Q14833 AF-Q14833-F1-model_v4.pdb
Q14839 AF-Q14839-F1-model_v4.pdb
Q14847 AF-Q14847-F1-model_v4.pdb
Q14849 AF-Q14849-F1-model_v4.pdb
Q14863 AF-Q14863-F1-model_v4.pdb
Q14865 AF-Q14865-F1-model_v4.pdb
Q14872 AF-Q14872-F1-model_v4.pdb
Q14894 AF-Q14894-F1-model_v4.pdb
Q14896 AF-Q14896-F1-model_v4.pdb
Q14914 AF-Q14914-F1-model_v4.pdb
Q14916 AF-Q14916-F1-model_v4.pdb
Q14919 AF-Q14919-F1-model_v4.pdb
Q5BJF2 AF-Q5BJF2-F1-model_v4.pdb
Q5BJF6 AF-Q5BJF6-F1-model_v4.pdb
Q5BJH2 AF-Q5BJH2-F1-model_v4.pdb
Q5BJH7 AF-Q5BJH7-F1-model_v4.pdb
Q5BKT4 AF-Q5BKT4-F1-model_v4.pdb
Q5BKU9 AF-Q5BKU9-F1-model_v4.pdb
Q5BKX5 AF-Q5BKX5-F1-model_v4.pdb
Q5BKX6 AF-Q5BKX6-F1-model_v4.pdb
Q5BKX8 AF-Q5BKX8-F1-model_v4.pdb
Q5BKY1 AF-Q5BKY1-F1-model_v4.pdb
Q5BKY6 AF-Q5BKY6-F1-model_v4.pdb
Q5BKY9 AF-Q5BKY9-F1-model_v4.pdb
Q5BKZ1 AF-Q5BKZ1-F1-model_v4.pdb
Q5BLP8 AF-Q5BLP8-F1-model_v4.pdb
Q5BN46 AF-Q5BN46-F1-model_v4.pdb
Q5BVD1 AF-Q5BVD1-F1-model_v4.pdb
Q5C9Z4 AF-Q5C9Z4-F1-model_v4.pdb
Q5CZ79 AF-Q5CZ79-F1-model_v4.pdb
Q5CZA5 AF-Q5CZA5-F1-model_v4.pdb
Q14671 AF-Q14671-F1-model_v4.pdb
Q14674 AF-Q14674-F1-model_v4.pdb
Q14676 AF-Q14676-F1-model_v4.pdb
Q14677 AF-Q14677-F1-model_v4.pdb
Q14678 AF-Q14678-F1-model_v4.pdb
Q14679 AF-Q14679-F1-model_v4.pdb
Q14680 AF-Q14680-F1-model_v4.pdb
Q14681 AF-Q14681-F1-model_v4.pdb
Q14683 AF-Q14683-F1-model_v4.pdb
Q14684 AF-Q14684-F1-model_v4.pdb
Q14686 AF-Q14686-F1-model_v4.pdb
Q14687 AF-Q14687-F1-model_v4.pdb
Q14689 AF-Q14689-F1-model_v4.pdb
Q14690 AF-Q14690-F1-model_v4.pdb
Q14691 AF-Q14691-F1-model_v4.pdb
Q14692 AF-Q14692-F1-model_v4.pdb
Q14693 AF-Q14693-F1-model_v4.pdb
Q14694 AF-Q14694-F1-model_v4.pdb
Q14695 AF-Q14695-F1-model_v4.pdb
Q14696 AF-Q14696-F1-model_v4.pdb
Q14697 AF-Q14697-F1-model_v4.pdb
Q14699 AF-Q14699-F1-model_v4.pdb
Q14703 AF-Q14703-F1-model_v4.pdb
Q14714 AF-Q14714-F1-model_v4.pdb
Q14721 AF-Q14721-F1-model_v4.pdb
Q14722 AF-Q14722-F1-model_v4.pdb
Q14728 AF-Q14728-F1-model_v4.pdb
Q14738 AF-Q14738-F1-model_v4.pdb
Q14739 AF-Q14739-F1-model_v4.pdb
Q14746 AF-Q14746-F1-model_v4.pdb
Q14749 AF-Q14749-F1-model_v4.pdb
Q14761 AF-Q14761-F1-model_v4.pdb
Q14764 AF-Q14764-F1-model_v4.pdb
Q14765 AF-Q14765-F1-model_v4.pdb
Q14766 AF-Q14766-F1-model_v4.pdb
Q14767 AF-Q14767-F1-model_v4.pdb
Q14773 AF-Q14773-F1-model_v4.pdb
Q14774 AF-Q14774-F1-model_v4.pdb
Q14781 AF-Q14781-F1-model_v4.pdb
Q14789 AF-Q14789-F1-model_v4.pdb
Q15013 AF-Q15013-F1-model_v4.pdb
Q15014 AF-Q15014-F1-model_v4.pdb
Q15018 AF-Q15018-F1-model_v4.pdb
Q15019 AF-Q15019-F1-model_v4.pdb
Q15020 AF-Q15020-F1-model_v4.pdb
Q15021 AF-Q15021-F1-model_v4.pdb
Q15022 AF-Q15022-F1-model_v4.pdb
Q15024 AF-Q15024-F1-model_v4.pdb
Q15025 AF-Q15025-F1-model_v4.pdb
Q15027 AF-Q15027-F1-model_v4.pdb
Q15029 AF-Q15029-F1-model_v4.pdb
Q15031 AF-Q15031-F1-model_v4.pdb
Q15032 AF-Q15032-F1-model_v4.pdb
Q15034 AF-Q15034-F1-model_v4.pdb
Q15035 AF-Q15035-F1-model_v4.pdb
Q15036 AF-Q15036-F1-model_v4.pdb
Q15038 AF-Q15038-F1-model_v4.pdb
Q15040 AF-Q15040-F1-model_v4.pdb
Q15041 AF-Q15041-F1-model_v4.pdb
