Q9BTN0 AF-Q9BTN0-F1-model_v4.pdb
Q9BTP6 AF-Q9BTP6-F1-model_v4.pdb
Q9BTP7 AF-Q9BTP7-F1-model_v4.pdb
Q9BTT0 AF-Q9BTT0-F1-model_v4.pdb
Q9BTT4 AF-Q9BTT4-F1-model_v4.pdb
Q9BTT6 AF-Q9BTT6-F1-model_v4.pdb
Q9BTU6 AF-Q9BTU6-F1-model_v4.pdb
Q9BTV4 AF-Q9BTV4-F1-model_v4.pdb
Q9BTV5 AF-Q9BTV5-F1-model_v4.pdb
Q9BTV6 AF-Q9BTV6-F1-model_v4.pdb
Q9BTV7 AF-Q9BTV7-F1-model_v4.pdb
Q9BTW9 AF-Q9BTW9-F1-model_v4.pdb
Q9BTX1 AF-Q9BTX1-F1-model_v4.pdb
Q9BTX3 AF-Q9BTX3-F1-model_v4.pdb
Q9BTX7 AF-Q9BTX7-F1-model_v4.pdb
Q9BTY2 AF-Q9BTY2-F1-model_v4.pdb
Q9BTY7 AF-Q9BTY7-F1-model_v4.pdb
Q9BTZ2 AF-Q9BTZ2-F1-model_v4.pdb
Q9BU02 AF-Q9BU02-F1-model_v4.pdb
Q9BU19 AF-Q9BU19-F1-model_v4.pdb
Q9BU20 AF-Q9BU20-F1-model_v4.pdb
Q9BU23 AF-Q9BU23-F1-model_v4.pdb
Q9BU40 AF-Q9BU40-F1-model_v4.pdb
Q9BU61 AF-Q9BU61-F1-model_v4.pdb
Q9BU64 AF-Q9BU64-F1-model_v4.pdb
Q9BU68 AF-Q9BU68-F1-model_v4.pdb
Q9BU70 AF-Q9BU70-F1-model_v4.pdb
Q9BU76 AF-Q9BU76-F1-model_v4.pdb
Q9BU79 AF-Q9BU79-F1-model_v4.pdb
Q9BU89 AF-Q9BU89-F1-model_v4.pdb
Q9BUA3 AF-Q9BUA3-F1-model_v4.pdb
Q9BUA6 AF-Q9BUA6-F1-model_v4.pdb
Q9BUB4 AF-Q9BUB4-F1-model_v4.pdb
Q9BUB5 AF-Q9BUB5-F1-model_v4.pdb
Q9BUB7 AF-Q9BUB7-F1-model_v4.pdb
Q9BUD6 AF-Q9BUD6-F1-model_v4.pdb
Q9BUE0 AF-Q9BUE0-F1-model_v4.pdb
Q9BUE6 AF-Q9BUE6-F1-model_v4.pdb
Q9BUF5 AF-Q9BUF5-F1-model_v4.pdb
Q9BUF7 AF-Q9BUF7-F1-model_v4.pdb
Q9BUG6 AF-Q9BUG6-F1-model_v4.pdb
Q9BUH6 AF-Q9BUH6-F1-model_v4.pdb
Q9BUH8 AF-Q9BUH8-F1-model_v4.pdb
Q9BUI4 AF-Q9BUI4-F1-model_v4.pdb
Q9BUJ0 AF-Q9BUJ0-F1-model_v4.pdb
Q9BUJ2 AF-Q9BUJ2-F1-model_v4.pdb
Q9BUK0 AF-Q9BUK0-F1-model_v4.pdb
Q9BUK6 AF-Q9BUK6-F1-model_v4.pdb
Q9BUL5 AF-Q9BUL5-F1-model_v4.pdb
Q9BUL8 AF-Q9BUL8-F1-model_v4.pdb
Q9BUL9 AF-Q9BUL9-F1-model_v4.pdb
Q9BUM1 AF-Q9BUM1-F1-model_v4.pdb
Q9BUN1 AF-Q9BUN1-F1-model_v4.pdb
Q9BUN5 AF-Q9BUN5-F1-model_v4.pdb
Q9BUN8 AF-Q9BUN8-F1-model_v4.pdb
Q9BUP0 AF-Q9BUP0-F1-model_v4.pdb
Q9BUP3 AF-Q9BUP3-F1-model_v4.pdb
Q9BUQ8 AF-Q9BUQ8-F1-model_v4.pdb
Q9BUR4 AF-Q9BUR4-F1-model_v4.pdb
Q9BUR5 AF-Q9BUR5-F1-model_v4.pdb
Q9BUT1 AF-Q9BUT1-F1-model_v4.pdb
Q9BUT9 AF-Q9BUT9-F1-model_v4.pdb
Q9BUU2 AF-Q9BUU2-F1-model_v4.pdb
Q9BUV0 AF-Q9BUV0-F1-model_v4.pdb
Q9BUV8 AF-Q9BUV8-F1-model_v4.pdb
Q9BUW7 AF-Q9BUW7-F1-model_v4.pdb
Q9BUX1 AF-Q9BUX1-F1-model_v4.pdb
Q9BUY5 AF-Q9BUY5-F1-model_v4.pdb
Q9BUY7 AF-Q9BUY7-F1-model_v4.pdb
Q9BUZ4 AF-Q9BUZ4-F1-model_v4.pdb
