Q96EE3 AF-Q96EE3-F1-model_v4.pdb
Q96EF0 AF-Q96EF0-F1-model_v4.pdb
O43157 AF-O43157-F1-model_v4.pdb
O43166 AF-O43166-F1-model_v4.pdb
O43167 AF-O43167-F1-model_v4.pdb
O43172 AF-O43172-F1-model_v4.pdb
O43174 AF-O43174-F1-model_v4.pdb
O43182 AF-O43182-F1-model_v4.pdb
O43184 AF-O43184-F1-model_v4.pdb
O43196 AF-O43196-F1-model_v4.pdb
O43236 AF-O43236-F1-model_v4.pdb
O43251 AF-O43251-F1-model_v4.pdb
O43278 AF-O43278-F1-model_v4.pdb
O43280 AF-O43280-F1-model_v4.pdb
O43291 AF-O43291-F1-model_v4.pdb
O43292 AF-O43292-F1-model_v4.pdb
O43295 AF-O43295-F1-model_v4.pdb
O43299 AF-O43299-F1-model_v4.pdb
O43303 AF-O43303-F1-model_v4.pdb
O43306 AF-O43306-F1-model_v4.pdb
O43307 AF-O43307-F1-model_v4.pdb
O43314 AF-O43314-F1-model_v4.pdb
O43318 AF-O43318-F1-model_v4.pdb
O43353 AF-O43353-F1-model_v4.pdb
O43374 AF-O43374-F1-model_v4.pdb
O43379 AF-O43379-F1-model_v4.pdb
O43390 AF-O43390-F1-model_v4.pdb
O43395 AF-O43395-F1-model_v4.pdb
O43399 AF-O43399-F1-model_v4.pdb
O43405 AF-O43405-F1-model_v4.pdb
O43424 AF-O43424-F1-model_v4.pdb
O43426 AF-O43426-F1-model_v4.pdb
O43427 AF-O43427-F1-model_v4.pdb
O43432 AF-O43432-F1-model_v4.pdb
O43435 AF-O43435-F1-model_v4.pdb
O43463 AF-O43463-F1-model_v4.pdb
O43464 AF-O43464-F1-model_v4.pdb
O43474 AF-O43474-F1-model_v4.pdb
O43490 AF-O43490-F1-model_v4.pdb
O43491 AF-O43491-F1-model_v4.pdb
O43497 AF-O43497-F1-model_v4.pdb
O43502 AF-O43502-F1-model_v4.pdb
O43508 AF-O43508-F1-model_v4.pdb
O43511 AF-O43511-F1-model_v4.pdb
O43516 AF-O43516-F1-model_v4.pdb
O43524 AF-O43524-F1-model_v4.pdb
O43525 AF-O43525-F1-model_v4.pdb
O43526 AF-O43526-F1-model_v4.pdb
O43541 AF-O43541-F1-model_v4.pdb
O43548 AF-O43548-F1-model_v4.pdb
