Q9NUU7 AF-Q9NUU7-F1-model_v4.pdb
Q9NUV7 AF-Q9NUV7-F1-model_v4.pdb
Q9NUV9 AF-Q9NUV9-F1-model_v4.pdb
Q9NUW8 AF-Q9NUW8-F1-model_v4.pdb
Q9NUX5 AF-Q9NUX5-F1-model_v4.pdb
Q9NUY8 AF-Q9NUY8-F1-model_v4.pdb
Q9NUZ1 AF-Q9NUZ1-F1-model_v4.pdb
Q9NV06 AF-Q9NV06-F1-model_v4.pdb
Q9NV12 AF-Q9NV12-F1-model_v4.pdb
Q9NWD9 AF-Q9NWD9-F1-model_v4.pdb
Q9NWF4 AF-Q9NWF4-F1-model_v4.pdb
Q9NWF9 AF-Q9NWF9-F1-model_v4.pdb
Q9NWH2 AF-Q9NWH2-F1-model_v4.pdb
Q9NWH7 AF-Q9NWH7-F1-model_v4.pdb
Q9NWH9 AF-Q9NWH9-F1-model_v4.pdb
Q9NWK9 AF-Q9NWK9-F1-model_v4.pdb
Q9NWL6 AF-Q9NWL6-F1-model_v4.pdb
Q9NWM0 AF-Q9NWM0-F1-model_v4.pdb
Q9NWM3 AF-Q9NWM3-F1-model_v4.pdb
Q9NWM8 AF-Q9NWM8-F1-model_v4.pdb
Q9NWN3 AF-Q9NWN3-F1-model_v4.pdb
Q9NWQ4 AF-Q9NWQ4-F1-model_v4.pdb
Q9NWQ8 AF-Q9NWQ8-F1-model_v4.pdb
Q9NWQ9 AF-Q9NWQ9-F1-model_v4.pdb
Q9NWR8 AF-Q9NWR8-F1-model_v4.pdb
Q9NWS0 AF-Q9NWS0-F1-model_v4.pdb
Q9NWS1 AF-Q9NWS1-F1-model_v4.pdb
Q9NWS6 AF-Q9NWS6-F1-model_v4.pdb
Q9NWS8 AF-Q9NWS8-F1-model_v4.pdb
Q9NWS9 AF-Q9NWS9-F1-model_v4.pdb
Q9NWT1 AF-Q9NWT1-F1-model_v4.pdb
Q9NWT6 AF-Q9NWT6-F1-model_v4.pdb
Q9NWT8 AF-Q9NWT8-F1-model_v4.pdb
Q9NWU1 AF-Q9NWU1-F1-model_v4.pdb
Q9NWU2 AF-Q9NWU2-F1-model_v4.pdb
Q9NWU5 AF-Q9NWU5-F1-model_v4.pdb
Q9NWV4 AF-Q9NWV4-F1-model_v4.pdb
Q9NWV8 AF-Q9NWV8-F1-model_v4.pdb
Q9NWW0 AF-Q9NWW0-F1-model_v4.pdb
Q9NWW5 AF-Q9NWW5-F1-model_v4.pdb
Q9NWW6 AF-Q9NWW6-F1-model_v4.pdb
Q9NWW7 AF-Q9NWW7-F1-model_v4.pdb
Q9NWW9 AF-Q9NWW9-F1-model_v4.pdb
Q9NWX5 AF-Q9NWX5-F1-model_v4.pdb
Q9NWX6 AF-Q9NWX6-F1-model_v4.pdb
Q9NWY4 AF-Q9NWY4-F1-model_v4.pdb
Q9NWZ3 AF-Q9NWZ3-F1-model_v4.pdb
Q9NWZ5 AF-Q9NWZ5-F1-model_v4.pdb
Q9NWZ8 AF-Q9NWZ8-F1-model_v4.pdb
Q9NX00 AF-Q9NX00-F1-model_v4.pdb
Q9NX01 AF-Q9NX01-F1-model_v4.pdb
Q9NX02 AF-Q9NX02-F1-model_v4.pdb
Q9NX04 AF-Q9NX04-F1-model_v4.pdb
Q9NX05 AF-Q9NX05-F1-model_v4.pdb
Q9NX07 AF-Q9NX07-F1-model_v4.pdb
Q9NX08 AF-Q9NX08-F1-model_v4.pdb
Q9NX09 AF-Q9NX09-F1-model_v4.pdb
Q9NX14 AF-Q9NX14-F1-model_v4.pdb
Q9NX18 AF-Q9NX18-F1-model_v4.pdb
Q9NX20 AF-Q9NX20-F1-model_v4.pdb
Q9NX24 AF-Q9NX24-F1-model_v4.pdb
Q9NX31 AF-Q9NX31-F1-model_v4.pdb
Q9NX36 AF-Q9NX36-F1-model_v4.pdb
Q9NX38 AF-Q9NX38-F1-model_v4.pdb
Q9NX40 AF-Q9NX40-F1-model_v4.pdb
Q9NX45 AF-Q9NX45-F1-model_v4.pdb
Q9NX46 AF-Q9NX46-F1-model_v4.pdb
Q9NX47 AF-Q9NX47-F1-model_v4.pdb
Q9NX52 AF-Q9NX52-F1-model_v4.pdb
Q9NX55 AF-Q9NX55-F1-model_v4.pdb
Q9NX57 AF-Q9NX57-F1-model_v4.pdb
Q9NX58 AF-Q9NX58-F1-model_v4.pdb
Q9NX61 AF-Q9NX61-F1-model_v4.pdb
Q9NX62 AF-Q9NX62-F1-model_v4.pdb
Q9NX63 AF-Q9NX63-F1-model_v4.pdb
Q9NX65 AF-Q9NX65-F1-model_v4.pdb
Q9NX70 AF-Q9NX70-F1-model_v4.pdb
Q9NX74 AF-Q9NX74-F1-model_v4.pdb
Q9NX76 AF-Q9NX76-F1-model_v4.pdb
Q9NX77 AF-Q9NX77-F1-model_v4.pdb
Q9NX78 AF-Q9NX78-F1-model_v4.pdb
Q9NX94 AF-Q9NX94-F1-model_v4.pdb
Q9NX95 AF-Q9NX95-F1-model_v4.pdb
Q9NXA8 AF-Q9NXA8-F1-model_v4.pdb
Q9NXB0 AF-Q9NXB0-F1-model_v4.pdb
Q9NXB9 AF-Q9NXB9-F1-model_v4.pdb
Q9NXC2 AF-Q9NXC2-F1-model_v4.pdb
Q9NXC5 AF-Q9NXC5-F1-model_v4.pdb
Q9NXD2 AF-Q9NXD2-F1-model_v4.pdb
Q9NXE4 AF-Q9NXE4-F1-model_v4.pdb
Q9NXE8 AF-Q9NXE8-F1-model_v4.pdb
Q9NXF1 AF-Q9NXF1-F1-model_v4.pdb
Q9NXF7 AF-Q9NXF7-F1-model_v4.pdb
Q9NXF8 AF-Q9NXF8-F1-model_v4.pdb
Q9NXG0 AF-Q9NXG0-F1-model_v4.pdb
Q9NXG2 AF-Q9NXG2-F1-model_v4.pdb
Q9NXG6 AF-Q9NXG6-F1-model_v4.pdb
Q9NXH3 AF-Q9NXH3-F1-model_v4.pdb
Q9NXH8 AF-Q9NXH8-F1-model_v4.pdb
Q9NXH9 AF-Q9NXH9-F1-model_v4.pdb
Q9NXI6 AF-Q9NXI6-F1-model_v4.pdb
Q9NXJ0 AF-Q9NXJ0-F1-model_v4.pdb
Q9NXJ5 AF-Q9NXJ5-F1-model_v4.pdb
Q9NXK6 AF-Q9NXK6-F1-model_v4.pdb
Q9NXK8 AF-Q9NXK8-F1-model_v4.pdb
Q9NXL2 AF-Q9NXL2-F1-model_v4.pdb
Q9NXL6 AF-Q9NXL6-F1-model_v4.pdb
Q9NXL9 AF-Q9NXL9-F1-model_v4.pdb
Q9NXN4 AF-Q9NXN4-F1-model_v4.pdb
Q9NXP7 AF-Q9NXP7-F1-model_v4.pdb
Q9NXR1 AF-Q9NXR1-F1-model_v4.pdb
Q9NXR5 AF-Q9NXR5-F1-model_v4.pdb
Q9NXR7 AF-Q9NXR7-F1-model_v4.pdb
Q9NXR8 AF-Q9NXR8-F1-model_v4.pdb
Q9NXS2 AF-Q9NXS2-F1-model_v4.pdb
Q9NXS3 AF-Q9NXS3-F1-model_v4.pdb
Q9NXT0 AF-Q9NXT0-F1-model_v4.pdb
Q9NXU5 AF-Q9NXU5-F1-model_v4.pdb
Q9NXV2 AF-Q9NXV2-F1-model_v4.pdb
Q9NXV6 AF-Q9NXV6-F1-model_v4.pdb
Q9NXW2 AF-Q9NXW2-F1-model_v4.pdb
Q9NXW9 AF-Q9NXW9-F1-model_v4.pdb
Q9NXX6 AF-Q9NXX6-F1-model_v4.pdb
Q9NXZ1 AF-Q9NXZ1-F1-model_v4.pdb
Q9NXZ2 AF-Q9NXZ2-F1-model_v4.pdb
Q9NY12 AF-Q9NY12-F1-model_v4.pdb
Q9NY15 AF-Q9NY15-F1-model_v4.pdb
Q9NY25 AF-Q9NY25-F1-model_v4.pdb
Q9NY26 AF-Q9NY26-F1-model_v4.pdb
Q9NY27 AF-Q9NY27-F1-model_v4.pdb
Q9NY28 AF-Q9NY28-F1-model_v4.pdb
Q9NY30 AF-Q9NY30-F1-model_v4.pdb
Q9NY33 AF-Q9NY33-F1-model_v4.pdb
Q9NY35 AF-Q9NY35-F1-model_v4.pdb
Q9NY37 AF-Q9NY37-F1-model_v4.pdb
Q9NY43 AF-Q9NY43-F1-model_v4.pdb
Q9NY46 AF-Q9NY46-F1-model_v4.pdb
Q9NY47 AF-Q9NY47-F1-model_v4.pdb
Q9NY56 AF-Q9NY56-F1-model_v4.pdb
Q9NY57 AF-Q9NY57-F1-model_v4.pdb
Q9NY59 AF-Q9NY59-F1-model_v4.pdb
Q9NY61 AF-Q9NY61-F1-model_v4.pdb
Q9NY64 AF-Q9NY64-F1-model_v4.pdb
Q9NY65 AF-Q9NY65-F1-model_v4.pdb
Q9NY72 AF-Q9NY72-F1-model_v4.pdb
Q9NY74 AF-Q9NY74-F1-model_v4.pdb
Q9NY84 AF-Q9NY84-F1-model_v4.pdb
