Q9BPW9 AF-Q9BPW9-F1-model_v4.pdb
Q99598 AF-Q99598-F1-model_v4.pdb
Q99603 AF-Q99603-F1-model_v4.pdb
Q99607 AF-Q99607-F1-model_v4.pdb
Q99608 AF-Q99608-F1-model_v4.pdb
Q99612 AF-Q99612-F1-model_v4.pdb
Q99613 AF-Q99613-F1-model_v4.pdb
Q99614 AF-Q99614-F1-model_v4.pdb
Q99615 AF-Q99615-F1-model_v4.pdb
Q99616 AF-Q99616-F1-model_v4.pdb
Q99618 AF-Q99618-F1-model_v4.pdb
Q99619 AF-Q99619-F1-model_v4.pdb
Q99622 AF-Q99622-F1-model_v4.pdb
Q99623 AF-Q99623-F1-model_v4.pdb
Q99624 AF-Q99624-F1-model_v4.pdb
Q99626 AF-Q99626-F1-model_v4.pdb
Q99627 AF-Q99627-F1-model_v4.pdb
Q99633 AF-Q99633-F1-model_v4.pdb
Q99638 AF-Q99638-F1-model_v4.pdb
Q99640 AF-Q99640-F1-model_v4.pdb
Q99643 AF-Q99643-F1-model_v4.pdb
Q99645 AF-Q99645-F1-model_v4.pdb
Q99650 AF-Q99650-F1-model_v4.pdb
Q99653 AF-Q99653-F1-model_v4.pdb
Q99661 AF-Q99661-F1-model_v4.pdb
Q99665 AF-Q99665-F1-model_v4.pdb
Q99666 AF-Q99666-F1-model_v4.pdb
Q99674 AF-Q99674-F1-model_v4.pdb
Q99675 AF-Q99675-F1-model_v4.pdb
Q99676 AF-Q99676-F1-model_v4.pdb
Q99677 AF-Q99677-F1-model_v4.pdb
Q99678 AF-Q99678-F1-model_v4.pdb
Q99679 AF-Q99679-F1-model_v4.pdb
Q99680 AF-Q99680-F1-model_v4.pdb
Q99683 AF-Q99683-F1-model_v4.pdb
Q99684 AF-Q99684-F1-model_v4.pdb
Q99685 AF-Q99685-F1-model_v4.pdb
Q99687 AF-Q99687-F1-model_v4.pdb
Q99689 AF-Q99689-F1-model_v4.pdb
Q99697 AF-Q99697-F1-model_v4.pdb
Q96KG9 AF-Q96KG9-F1-model_v4.pdb
Q96KH6 AF-Q96KH6-F1-model_v4.pdb
Q96KJ4 AF-Q96KJ4-F1-model_v4.pdb
Q96KJ9 AF-Q96KJ9-F1-model_v4.pdb
Q96KK3 AF-Q96KK3-F1-model_v4.pdb
