Q7Z403 AF-Q7Z403-F1-model_v4.pdb
Q7Z406 AF-Q7Z406-F1-model_v4.pdb
Q7Z407 AF-Q7Z407-F1-model_v4.pdb
Q7Z408 AF-Q7Z408-F1-model_v4.pdb
Q7Z412 AF-Q7Z412-F1-model_v4.pdb
Q7Z417 AF-Q7Z417-F1-model_v4.pdb
Q7Z434 AF-Q7Z434-F1-model_v4.pdb
Q7Z449 AF-Q7Z449-F1-model_v4.pdb
Q7Z460 AF-Q7Z460-F1-model_v4.pdb
Q7Z494 AF-Q7Z494-F1-model_v4.pdb
Q7Z4F1 AF-Q7Z4F1-F1-model_v4.pdb
Q7Z4I7 AF-Q7Z4I7-F1-model_v4.pdb
Q7Z4L5 AF-Q7Z4L5-F1-model_v4.pdb
Q7Z4N2 AF-Q7Z4N2-F1-model_v4.pdb
Q7Z4Q2 AF-Q7Z4Q2-F1-model_v4.pdb
Q7Z4S6 AF-Q7Z4S6-F1-model_v4.pdb
Q7Z4T8 AF-Q7Z4T8-F1-model_v4.pdb
Q7Z553 AF-Q7Z553-F1-model_v4.pdb
Q7Z589 AF-Q7Z589-F1-model_v4.pdb
Q7Z591 AF-Q7Z591-F1-model_v4.pdb
Q7Z5B4 AF-Q7Z5B4-F1-model_v4.pdb
Q7Z5H3 AF-Q7Z5H3-F1-model_v4.pdb
Q7Z5J4 AF-Q7Z5J4-F1-model_v4.pdb
Q7Z5J8 AF-Q7Z5J8-F1-model_v4.pdb
Q7Z5K2 AF-Q7Z5K2-F1-model_v4.pdb
Q7Z5L9 AF-Q7Z5L9-F1-model_v4.pdb
Q7Z5N4 AF-Q7Z5N4-F1-model_v4.pdb
Q7Z5P4 AF-Q7Z5P4-F1-model_v4.pdb
Q7Z5Q5 AF-Q7Z5Q5-F1-model_v4.pdb
Q7Z5R6 AF-Q7Z5R6-F1-model_v4.pdb
Q7Z5V6 AF-Q7Z5V6-F1-model_v4.pdb
Q7Z628 AF-Q7Z628-F1-model_v4.pdb
Q7Z698 AF-Q7Z698-F1-model_v4.pdb
Q7Z6B0 AF-Q7Z6B0-F1-model_v4.pdb
Q7Z6B7 AF-Q7Z6B7-F1-model_v4.pdb
Q7Z6E9 AF-Q7Z6E9-F1-model_v4.pdb
Q7Z6G8 AF-Q7Z6G8-F1-model_v4.pdb
Q7Z6J0 AF-Q7Z6J0-F1-model_v4.pdb
Q7Z6J2 AF-Q7Z6J2-F1-model_v4.pdb
Q7Z6J4 AF-Q7Z6J4-F1-model_v4.pdb
Q7Z6J6 AF-Q7Z6J6-F1-model_v4.pdb
Q7Z6J9 AF-Q7Z6J9-F1-model_v4.pdb
Q7Z6L0 AF-Q7Z6L0-F1-model_v4.pdb
Q7Z6L1 AF-Q7Z6L1-F1-model_v4.pdb
Q7Z6M1 AF-Q7Z6M1-F1-model_v4.pdb
Q7Z6V5 AF-Q7Z6V5-F1-model_v4.pdb
Q7Z6Z7 AF-Q7Z6Z7-F1-model_v4.pdb
Q7Z7A1 AF-Q7Z7A1-F1-model_v4.pdb
Q7Z7A4 AF-Q7Z7A4-F1-model_v4.pdb
Q7Z7B0 AF-Q7Z7B0-F1-model_v4.pdb
Q7Z7G1 AF-Q7Z7G1-F1-model_v4.pdb
Q7Z7G8 AF-Q7Z7G8-F1-model_v4.pdb
Q86U10 AF-Q86U10-F1-model_v4.pdb
Q86SQ9 AF-Q86SQ9-F1-model_v4.pdb
Q86SR1 AF-Q86SR1-F1-model_v4.pdb
Q86SU0 AF-Q86SU0-F1-model_v4.pdb
Q86SZ2 AF-Q86SZ2-F1-model_v4.pdb
Q86T65 AF-Q86T65-F1-model_v4.pdb
Q86T90 AF-Q86T90-F1-model_v4.pdb
Q86TB9 AF-Q86TB9-F1-model_v4.pdb
Q86TC9 AF-Q86TC9-F1-model_v4.pdb
Q86TI0 AF-Q86TI0-F1-model_v4.pdb
Q86TI2 AF-Q86TI2-F1-model_v4.pdb
Q86TL0 AF-Q86TL0-F1-model_v4.pdb
Q86TM6 AF-Q86TM6-F1-model_v4.pdb
Q86TP1 AF-Q86TP1-F1-model_v4.pdb
Q86TV6 AF-Q86TV6-F1-model_v4.pdb
Q7Z7K6 AF-Q7Z7K6-F1-model_v4.pdb
Q7Z7L9 AF-Q7Z7L9-F1-model_v4.pdb
Q7Z7M0 AF-Q7Z7M0-F1-model_v4.pdb
Q86SJ6 AF-Q86SJ6-F1-model_v4.pdb
Q86SK9 AF-Q86SK9-F1-model_v4.pdb
Q86SQ0 AF-Q86SQ0-F1-model_v4.pdb
Q86SQ4 AF-Q86SQ4-F1-model_v4.pdb
Q86SQ7 AF-Q86SQ7-F1-model_v4.pdb
Q86U28 AF-Q86U28-F1-model_v4.pdb
Q86U42 AF-Q86U42-F1-model_v4.pdb
Q86U86 AF-Q86U86-F1-model_v4.pdb
Q86UA6 AF-Q86UA6-F1-model_v4.pdb
Q86UB2 AF-Q86UB2-F1-model_v4.pdb
Q86UB9 AF-Q86UB9-F1-model_v4.pdb
Q86UC2 AF-Q86UC2-F1-model_v4.pdb
Q86UD5 AF-Q86UD5-F1-model_v4.pdb
Q86UE8 AF-Q86UE8-F1-model_v4.pdb
Q86UG4 AF-Q86UG4-F1-model_v4.pdb
Q86UK0 AF-Q86UK0-F1-model_v4.pdb
Q86UK5 AF-Q86UK5-F1-model_v4.pdb
Q86UL8 AF-Q86UL8-F1-model_v4.pdb
Q86UP2 AF-Q86UP2-F1-model_v4.pdb
Q86UP3 AF-Q86UP3-F1-model_v4.pdb
Q86UQ0 AF-Q86UQ0-F1-model_v4.pdb
Q86W34 AF-Q86W34-F1-model_v4.pdb
Q86W42 AF-Q86W42-F1-model_v4.pdb
Q86WA6 AF-Q86WA6-F1-model_v4.pdb
Q86WA8 AF-Q86WA8-F1-model_v4.pdb
Q86WB7 AF-Q86WB7-F1-model_v4.pdb
Q86WG3 AF-Q86WG3-F1-model_v4.pdb
Q86WG5 AF-Q86WG5-F1-model_v4.pdb
Q86VF7 AF-Q86VF7-F1-model_v4.pdb
Q86VH2 AF-Q86VH2-F1-model_v4.pdb
Q86VH5 AF-Q86VH5-F1-model_v4.pdb
Q86VP3 AF-Q86VP3-F1-model_v4.pdb
Q86VP6 AF-Q86VP6-F1-model_v4.pdb
Q86VR2 AF-Q86VR2-F1-model_v4.pdb
Q86VR7 AF-Q86VR7-F1-model_v4.pdb
Q86VV8 AF-Q86VV8-F1-model_v4.pdb
Q86VW1 AF-Q86VW1-F1-model_v4.pdb
Q86W28 AF-Q86W28-F1-model_v4.pdb
Q86UR5 AF-Q86UR5-F1-model_v4.pdb
Q86US8 AF-Q86US8-F1-model_v4.pdb
Q86UT6 AF-Q86UT6-F1-model_v4.pdb
Q86UU0 AF-Q86UU0-F1-model_v4.pdb
Q86UU5 AF-Q86UU5-F1-model_v4.pdb
Q86UV5 AF-Q86UV5-F1-model_v4.pdb
Q86UW6 AF-Q86UW6-F1-model_v4.pdb
Q86UW7 AF-Q86UW7-F1-model_v4.pdb
Q86UX6 AF-Q86UX6-F1-model_v4.pdb
Q86UX7 AF-Q86UX7-F1-model_v4.pdb
Q86V15 AF-Q86V15-F1-model_v4.pdb
Q86V20 AF-Q86V20-F1-model_v4.pdb
Q86V21 AF-Q86V21-F1-model_v4.pdb
Q86V42 AF-Q86V42-F1-model_v4.pdb
Q86V48 AF-Q86V48-F1-model_v4.pdb
Q86V88 AF-Q86V88-F1-model_v4.pdb
Q86VB7 AF-Q86VB7-F1-model_v4.pdb
Q86VD1 AF-Q86VD1-F1-model_v4.pdb
Q86Y07 AF-Q86Y07-F1-model_v4.pdb
Q86Y13 AF-Q86Y13-F1-model_v4.pdb
Q86Y39 AF-Q86Y39-F1-model_v4.pdb
Q86Y56 AF-Q86Y56-F1-model_v4.pdb
Q86YA3 AF-Q86YA3-F1-model_v4.pdb
Q86YB8 AF-Q86YB8-F1-model_v4.pdb
Q86YD1 AF-Q86YD1-F1-model_v4.pdb
Q86YD5 AF-Q86YD5-F1-model_v4.pdb
Q86YF9 AF-Q86YF9-F1-model_v4.pdb
Q86YH6 AF-Q86YH6-F1-model_v4.pdb
Q86XE5 AF-Q86XE5-F1-model_v4.pdb
Q86XI2 AF-Q86XI2-F1-model_v4.pdb
P22557 AF-P22557-F1-model_v4.pdb
P22570 AF-P22570-F1-model_v4.pdb
P22607 AF-P22607-F1-model_v4.pdb
P22626 AF-P22626-F1-model_v4.pdb
P22674 AF-P22674-F1-model_v4.pdb
P22692 AF-P22692-F1-model_v4.pdb
P22694 AF-P22694-F1-model_v4.pdb
P22732 AF-P22732-F1-model_v4.pdb
P22735 AF-P22735-F1-model_v4.pdb
P22736 AF-P22736-F1-model_v4.pdb
P22748 AF-P22748-F1-model_v4.pdb
P22749 AF-P22749-F1-model_v4.pdb
P22794 AF-P22794-F1-model_v4.pdb
P22830 AF-P22830-F1-model_v4.pdb
P22888 AF-P22888-F1-model_v4.pdb
P22891 AF-P22891-F1-model_v4.pdb
P22897 AF-P22897-F1-model_v4.pdb
P23141 AF-P23141-F1-model_v4.pdb
P23229 AF-P23229-F1-model_v4.pdb
P23246 AF-P23246-F1-model_v4.pdb
P23368 AF-P23368-F1-model_v4.pdb
P23381 AF-P23381-F1-model_v4.pdb
P23415 AF-P23415-F1-model_v4.pdb
P23416 AF-P23416-F1-model_v4.pdb
P23467 AF-P23467-F1-model_v4.pdb
P23468 AF-P23468-F1-model_v4.pdb
P23470 AF-P23470-F1-model_v4.pdb
P23471 AF-P23471-F1-model_v4.pdb
P23497 AF-P23497-F1-model_v4.pdb
P23526 AF-P23526-F1-model_v4.pdb
P23560 AF-P23560-F1-model_v4.pdb
P23634 AF-P23634-F1-model_v4.pdb
P23743 AF-P23743-F1-model_v4.pdb
P23759 AF-P23759-F1-model_v4.pdb
P23760 AF-P23760-F1-model_v4.pdb
P23763 AF-P23763-F1-model_v4.pdb
P23769 AF-P23769-F1-model_v4.pdb
P23771 AF-P23771-F1-model_v4.pdb
P23919 AF-P23919-F1-model_v4.pdb
P23946 AF-P23946-F1-model_v4.pdb
P23975 AF-P23975-F1-model_v4.pdb
P24001 AF-P24001-F1-model_v4.pdb
P24386 AF-P24386-F1-model_v4.pdb
P24394 AF-P24394-F1-model_v4.pdb
P24462 AF-P24462-F1-model_v4.pdb
P24468 AF-P24468-F1-model_v4.pdb
P24530 AF-P24530-F1-model_v4.pdb
P24557 AF-P24557-F1-model_v4.pdb
P24666 AF-P24666-F1-model_v4.pdb
P24723 AF-P24723-F1-model_v4.pdb
P24752 AF-P24752-F1-model_v4.pdb
P24821 AF-P24821-F1-model_v4.pdb
P24844 AF-P24844-F1-model_v4.pdb
P24855 AF-P24855-F1-model_v4.pdb
P24903 AF-P24903-F1-model_v4.pdb
P25054 AF-P25054-F1-model_v4.pdb
P25101 AF-P25101-F1-model_v4.pdb
P25189 AF-P25189-F1-model_v4.pdb
P25325 AF-P25325-F1-model_v4.pdb
P25440 AF-P25440-F1-model_v4.pdb
P25445 AF-P25445-F1-model_v4.pdb
P25686 AF-P25686-F1-model_v4.pdb
P25705 AF-P25705-F1-model_v4.pdb
P25788 AF-P25788-F1-model_v4.pdb
P25800 AF-P25800-F1-model_v4.pdb
P25942 AF-P25942-F1-model_v4.pdb
P26010 AF-P26010-F1-model_v4.pdb
P26045 AF-P26045-F1-model_v4.pdb
P26232 AF-P26232-F1-model_v4.pdb
P26358 AF-P26358-F1-model_v4.pdb
P26367 AF-P26367-F1-model_v4.pdb
P26368 AF-P26368-F1-model_v4.pdb
P26373 AF-P26373-F1-model_v4.pdb
P26378 AF-P26378-F1-model_v4.pdb
P26436 AF-P26436-F1-model_v4.pdb
P26439 AF-P26439-F1-model_v4.pdb
P26599 AF-P26599-F1-model_v4.pdb
P26639 AF-P26639-F1-model_v4.pdb
P26640 AF-P26640-F1-model_v4.pdb
P26951 AF-P26951-F1-model_v4.pdb
P27105 AF-P27105-F1-model_v4.pdb
P27338 AF-P27338-F1-model_v4.pdb
P27352 AF-P27352-F1-model_v4.pdb
